rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0,3|0,35|2.0|0,801135|3,675800|1,463969|1,696460|2,731461|6,950336|1,331131|1,795021|2,731461
0,3|0,4|2.0|0,826716|3,122615|1,503791|1,728675|2,622730|7,225632|1,390514|1,843533|2,622730
0,3|0,45|2.0|0,841604|3,755498|1,306752|1,088970|1,680959|15,295043|1,398636|1,087602|1,680959
0,3|0,5|2.0|0,818065|3,701752|1,397460|1,305642|1,811894|18,330320|1,464114|1,046682|1,811894
0,3|0,55|2.0|0,879430|3,731580|1,416308|1,592096|2,516930|6,875717|1,298006|1,512513|2,516930
0,3|0,6|2.0|0,829596|3,812829|1,367555|1,344272|1,886273|8,163520|1,413351|1,105628|1,886273
0,3|0,65|2.0|0,875465|3,383789|1,245104|1,296607|2,415018|6,356851|1,195680|1,315437|2,415018
0,3|0,7|2.0|0,975797|3,785624|1,278118|1,365393|2,458321|13,581148|1,205863|1,325720|2,458321
0,3|0,75|2.0|0,813284|2,758040|1,452845|1,710042|2,808618|6,728523|1,314027|1,842754|2,808618
0,3|0,8|2.0|0,768392|3,098417|1,320085|1,219161|1,903398|7,317424|1,385031|1,064047|1,903398
0,3|0,85|2.0|0,749645|2,711460|1,501305|1,733650|2,642052|7,147454|1,391299|1,795671|2,642052
0,3|0,9|2.0|0,753599|2,796015|1,418350|1,621577|2,646220|6,608721|1,288896|1,570444|2,646220
0,3|0,95|2.0|0,737537|2,708371|1,400580|1,597877|2,691336|6,892179|1,244165|1,690143|2,691336
0,3|1|2.0|145,370634|7,293725|4,015497|4,365523|5,648456|5,809114|3,526678|3,712392|5,648456
0,3|1,05|2.0|37,289522|4,614342|3,109155|3,545209|4,988500|5,208695|3,280862|3,606858|4,988500
0,3|1,1|2.0|76,633950|11,605885|5,016971|5,821893|6,886409|34,054822|31,864371|27,007589|6,886409
0,3|1,15|2.0|115,450074|7,156180|6,272784|6,634488|8,225742|5,423684|4,994840|5,408333|8,225742
0,3|1,2|2.0|134,101835|23,853047|24,266891|25,087202|26,299947|30,499485|33,792721|32,648953|26,299947
0,3|1,25|2.0|233,314927|34,442946|39,087808|39,605344|41,298957|23,057820|29,122800|30,051106|41,298957
0,3|1,3|2.0|49,718620|17,951021|22,007593|22,509631|24,224536|31,805653|31,395938|26,570326|24,224536
0,3|1,35|2.0|44,202779|14,755516|18,965971|19,440925|20,936270|13,054477|18,308146|19,010530|20,936270
0,3|1,4|2.0|53,026891|4,707136|2,099283|2,534513|4,054649|5,648373|2,113104|2,524227|4,054649
0,3|1,45|2.0|97,382033|25,114045|30,595384|31,075569|32,818488|15,464698|22,904152|25,395483|32,818488
0,3|1,5|2.0|130,585773|28,514891|35,295716|35,681612|37,494600|16,205409|23,425126|26,379102|37,494600
