indicators|argument|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
ema|1|1,097881|5,974250|1,476227|1,647745|3,197937|6,553840|1,480733|1,546484|3,197937
ema|2|1,071558|4,614387|1,505227|1,778777|3,090093|6,573860|1,383620|1,697530|3,090093
ema|3|0,919515|4,364943|1,251449|1,357069|2,689817|6,810511|1,200858|1,494036|2,689817
ema|4|0,899458|3,562339|1,336717|1,533642|2,855442|6,692545|1,253043|1,622874|2,855442
ema|5|0,898539|4,165840|1,392028|1,629332|2,917365|6,655238|1,286929|1,652797|2,917365
ema|6|0,943712|4,567297|1,355996|1,567216|2,918623|6,591924|1,326114|1,583428|2,918623
ema|7|0,988430|4,765500|1,305656|1,465006|2,794619|6,628271|1,309404|1,478589|2,794619
ema|8|0,849542|3,541984|1,391796|1,615776|2,846328|6,782736|1,218285|1,709738|2,846328
ema|9|0,988324|4,443858|1,545070|1,867112|3,184833|6,546986|1,395804|1,795805|3,184833
ema|10|0,940544|3,940659|1,338183|1,535616|2,781534|6,649316|1,280889|1,550586|2,781534
ema|11|0,896093|4,272968|1,295563|1,459589|2,778635|6,699957|1,246681|1,542328|2,778635
ema|12|1,024703|4,274822|1,397020|1,642598|2,969510|6,577535|1,338751|1,615194|2,969510
ema|13|0,886629|3,610809|1,301944|1,470122|2,795301|6,724701|1,228975|1,605320|2,795301
ema|14|0,968708|4,271993|1,254637|1,383498|2,668577|6,672008|1,263034|1,437587|2,668577
ema|15|0,965131|3,889660|1,464249|1,712097|3,096719|6,593448|1,367689|1,694460|3,096719
ema|16|0,945367|3,742929|1,339685|1,500642|2,938872|6,636500|1,341787|1,511955|2,938872
ema|17|0,902532|4,563768|1,385356|1,623556|2,962047|6,587677|1,329174|1,608065|2,962047
ema|18|1,021507|4,587028|1,449266|1,703789|3,092400|6,563634|1,375181|1,667750|3,092400
ema|19|0,893700|3,366718|1,395554|1,637369|2,833598|6,665826|1,291023|1,666848|2,833598
ema|20|1,014254|4,551555|1,366758|1,590270|2,862526|6,682484|1,271353|1,583812|2,862526
ema|21|1,352652|5,615096|1,336171|1,535749|2,888240|6,598338|1,321627|1,520821|2,888240
ema|22|1,043575|5,421640|1,404807|1,591549|3,029442|6,569089|1,405462|1,574166|3,029442
ema|23|1,073815|4,959777|1,529773|1,826002|3,204878|6,539243|1,410903|1,737937|3,204878
ema|24|0,838243|3,868507|1,354531|1,554469|2,773996|6,784606|1,231256|1,610714|2,773996
ema|25|0,986191|5,148616|1,404008|1,651499|2,874302|6,595726|1,337990|1,591951|2,874302
ema|26|0,873877|3,982157|1,344177|1,555216|2,864226|6,655319|1,273887|1,631609|2,864226
ema|27|1,016769|5,002357|1,296254|1,474693|2,690937|6,639789|1,269032|1,509046|2,690937
ema|28|0,960919|4,676279|1,275578|1,429672|2,662541|6,699552|1,239042|1,481468|2,662541
ema|29|1,066427|5,440262|1,439285|1,675028|3,089613|6,547218|1,400281|1,613291|3,089613
