window|hide layer|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
6|10|1,511866|5,109972|7,672355|7,994891|8,683195|12,128546|19,922471|17,456174|8,683195
6|11|1,520183|5,188110|7,540319|7,857791|8,557759|12,142649|19,910111|17,350354|8,557759
6|12|1,524556|5,143334|7,906359|8,206356|8,816698|12,106154|19,228922|17,393043|8,816698
6|13|1,530121|5,620953|7,887638|8,231957|8,930486|12,211328|21,269554|18,632800|8,930486
6|14|1,535094|4,804576|7,203795|7,537216|8,281072|12,094937|19,005051|16,218818|8,281072
6|15|1,531724|4,913762|7,412295|7,724091|8,374657|12,131287|18,551715|16,929561|8,374657
7|1|2,275618|9,435795|11,697654|12,242903|13,329608|12,021968|16,029902|15,800204|13,329608
7|2|1,517468|5,598748|7,774263|8,131492|8,778843|12,091627|19,510080|16,479509|8,778843
7|3|1,521863|5,070612|7,130748|7,461416|8,011059|12,063873|18,870869|16,041205|8,011059
7|4|1,526684|4,424635|5,962913|6,352027|6,825402|11,994895|15,792182|13,613594|6,825402
7|5|1,526050|4,543127|6,268649|6,643603|7,160130|11,951196|15,606874|13,832497|7,160130
7|6|1,546483|4,698249|6,416007|6,813470|7,433244|12,094050|17,100934|14,191835|7,433244
7|7|1,535481|5,104512|7,340045|7,676766|8,238464|12,025204|18,351203|16,209311|8,238464
7|8|1,551408|5,575982|7,550455|7,903005|8,470821|12,119712|20,363672|17,165019|8,470821
7|9|1,533241|5,157660|6,654722|7,055684|7,678456|12,075663|18,041434|14,769154|7,678456
7|10|1,515011|5,142217|7,244941|7,585776|8,264958|12,107162|17,684455|15,003376|8,264958
7|11|1,537614|5,062823|6,798497|7,154455|7,761103|12,178412|20,166908|16,285754|7,761103
7|12|1,533221|4,081623|6,090026|6,423289|7,026509|11,981896|15,586645|13,853888|7,026509
7|13|1,553423|4,536149|6,540870|6,907436|7,525609|12,121740|17,217520|14,291833|7,525609
7|14|1,585070|3,569741|2,240608|2,826257|3,155797|11,681992|6,280266|6,020395|3,155797
7|15|1,533491|4,929798|6,996886|7,304631|7,789877|12,285643|18,635266|16,715762|7,789877
8|1|2,146241|7,563064|7,720765|8,374805|9,383691|11,925155|12,417229|11,885025|9,383691
8|2|1,534836|4,040632|4,200570|4,720171|5,464764|12,209355|9,792579|8,669809|5,464764
8|3|1,531025|4,398417|5,198649|5,623610|6,343040|12,523341|14,684979|12,089903|6,343040
8|4|1,510308|4,472399|5,212552|5,681335|6,499622|12,269048|12,979490|11,296050|6,499622
8|5|1,535425|4,538920|4,358245|4,900998|5,843477|12,771680|10,887008|8,966592|5,843477
8|6|1,495621|4,226651|5,181884|5,659103|6,301987|12,418236|13,408334|11,730932|6,301987
8|7|1,502143|4,986364|5,839836|6,331416|7,043683|12,015610|13,650130|12,510107|7,043683
8|8|1,544050|5,194759|5,514804|6,011953|6,729500|12,442981|15,860015|12,460052|6,729500
8|9|1,550219|4,529012|5,761168|6,185421|6,894098|12,134486|15,768448|13,495683|6,894098
8|10|1,535226|4,115729|5,273253|5,718120|6,416951|12,310120|14,604893|12,382360|6,416951
8|11|1,517390|4,970026|6,331389|6,780758|7,636415|12,122384|14,632355|12,809168|7,636415
8|12|1,518528|4,015566|5,452606|5,904468|6,693583|12,118345|13,816102|12,117689|6,693583
8|13|1,524314|4,120200|5,383406|5,846588|6,563649|12,095576|12,869507|11,621748|6,563649
8|14|1,554630|5,301395|6,290996|6,709707|7,430294|12,648683|18,767443|14,979358|7,430294
8|15|1,527207|5,105063|6,133887|6,537593|7,272914|12,524523|16,120172|13,923841|7,272914
