window|hide layer|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|2,121652|7,954683|10,077906|10,595574|11,389396|12,129407|15,494295|15,640746|11,389396
2|2|1,506036|4,024203|5,867500|6,381060|7,064321|11,871538|12,591755|12,076005|7,064321
2|3|1,467326|4,952010|7,200613|7,722689|8,486118|11,970148|14,380428|14,333090|8,486118
2|4|1,501726|4,073124|5,786447|6,304072|7,000931|11,873426|12,625288|12,053280|7,000931
2|5|1,512269|5,007434|7,251654|7,772666|8,516263|11,972052|14,377575|14,329599|8,516263
2|6|1,656051|4,511688|4,216987|4,787655|5,286682|11,822105|11,422589|10,287503|5,286682
2|7|1,530822|4,057908|3,097519|3,628518|3,753684|11,756616|10,364935|9,250381|3,753684
2|8|1,488519|5,335030|7,334811|7,856875|8,508957|12,002299|14,678448|14,756831|8,508957
2|9|1,650354|4,978836|5,192906|5,756346|6,215911|11,954592|13,143856|12,137984|6,215911
2|10|1,513766|5,723293|8,201049|8,717866|9,495301|12,044543|15,270982|15,750546|9,495301
2|11|1,610649|4,748090|4,585306|5,174330|5,677015|11,921065|12,576771|11,370285|5,677015
2|12|1,480814|5,815668|8,419423|8,935427|9,697263|12,049585|15,298509|15,793157|9,697263
2|13|1,676445|4,735305|5,068830|5,623864|6,052602|11,898267|12,679506|11,752640|6,052602
2|14|1,514321|6,143236|8,179558|8,691712|9,257794|12,060550|15,427895|16,096781|9,257794
2|15|1,613351|6,266154|7,187813|7,725621|8,208412|11,996411|14,287679|14,009344|8,208412
3|1|1,615714|4,320411|2,510326|3,040012|3,423409|11,675126|8,398929|7,447645|3,423409
3|2|1,518832|5,470930|7,744104|8,292789|9,067803|12,239283|17,837451|18,881514|9,067803
3|3|1,518243|4,632121|6,172795|6,717467|7,360596|12,070669|15,746512|15,371613|7,360596
3|4|1,490833|4,506397|6,455287|6,989295|7,668248|12,105214|16,834244|16,303704|7,668248
3|5|1,593547|4,300919|3,882128|4,456077|4,637101|11,951641|12,880195|11,622855|4,637101
3|6|1,514125|4,327281|5,893196|6,440483|7,100946|12,043300|15,802975|15,170432|7,100946
3|7|1,799856|6,976754|8,195148|8,749483|9,332563|12,091917|15,531312|16,350655|9,332563
3|8|1,523140|5,142477|7,353226|7,902733|8,687987|12,200684|17,744449|18,239074|8,687987
3|9|1,518632|5,284383|7,731850|8,268638|9,122123|12,093971|16,455210|16,986992|9,122123
3|10|1,643378|5,633346|6,705316|7,266439|7,957214|11,997880|14,218829|13,793277|7,957214
3|11|1,513118|4,411258|6,433198|6,968811|7,751136|12,027006|15,855964|15,266642|7,751136
3|12|1,600180|5,736666|6,823178|7,394151|8,160580|12,010442|14,380848|13,964578|8,160580
3|13|1,767075|5,573934|6,998730|7,538611|7,989085|12,173400|15,706162|15,749468|7,989085
3|14|1,529051|5,067756|6,599089|7,162147|7,888556|12,093736|16,145007|16,285919|7,888556
3|15|1,509492|4,776571|6,690094|7,235058|7,948351|12,113728|16,742964|16,709380|7,948351
4|1|2,225490|9,142786|10,641614|11,236062|12,622919|11,897302|13,361890|13,053226|12,622919
4|2|1,524092|5,576536|7,429695|7,875788|8,707210|12,233265|18,583876|18,834164|8,707210
4|3|1,512959|4,730161|6,858130|7,313171|8,204172|12,088480|17,099389|16,492357|8,204172
4|4|1,494906|5,168892|7,798976|8,221399|9,193758|12,193203|18,895407|18,406590|9,193758
4|5|1,548293|5,056367|6,463215|6,911575|7,643299|12,133019|17,143078|16,634349|7,643299
4|6|1,541735|6,424819|8,684191|9,123791|10,045619|12,308733|19,097993|20,480302|10,045619
4|7|1,515287|5,378898|7,544266|7,987388|8,841058|12,303993|19,455503|19,468484|8,841058
4|8|1,642449|6,551009|8,292262|8,773409|9,777494|12,069590|15,836521|15,987354|9,777494
4|9|1,511283|5,069477|7,662074|8,093042|9,082670|12,180152|19,050177|18,271208|9,082670
4|10|1,871491|5,877572|7,274251|7,735611|8,547660|12,075601|15,273972|14,793192|8,547660
4|11|1,520718|5,677622|7,966073|8,427075|9,433754|12,246875|19,862296|19,756914|9,433754
4|12|1,511930|4,566660|6,815648|7,243638|8,185620|12,058950|17,177629|16,269734|8,185620
4|13|1,516618|4,777548|6,711376|7,152992|8,027666|12,103608|17,971044|16,879565|8,027666
4|14|1,670654|4,182563|4,032837|4,525484|4,868434|11,987489|14,358363|12,746608|4,868434
4|15|1,631008|5,198901|5,516727|6,010804|6,498880|12,089653|15,484724|14,747151|6,498880
5|1|1,755377|5,945576|5,949466|6,527642|7,156685|11,872070|13,084312|12,296548|7,156685
5|2|1,536202|4,662480|6,732715|7,074008|7,138590|12,090471|17,033655|15,643922|7,138590
5|3|1,535813|4,820266|7,215944|7,557030|7,777776|12,054673|17,935779|16,195295|7,777776
5|4|1,509912|5,409952|7,711263|8,060707|8,315071|12,158911|20,005431|18,321835|8,315071
5|5|1,518671|4,846492|6,992939|7,329370|7,417918|12,165538|18,761316|17,193474|7,417918
5|6|1,523616|5,518060|8,208204|8,552984|8,815451|12,247950|20,256172|18,978861|8,815451
5|7|1,526280|4,687013|6,912748|7,239002|7,304000|12,109173|18,044921|16,535419|7,304000
5|8|1,534116|5,838057|8,171622|8,529199|8,760669|12,248257|19,641198|19,188086|8,760669
5|9|1,526131|4,694887|7,176215|7,502337|7,732433|12,080823|18,657292|16,773449|7,732433
5|10|1,639887|5,332164|5,852304|6,300664|6,328354|12,141063|16,221066|15,021668|6,328354
5|11|1,520834|4,945929|7,363310|7,709957|7,943814|12,153758|19,296114|17,585393|7,943814
5|12|1,684208|6,292979|8,017038|8,452448|8,830767|12,093991|15,613749|15,022033|8,830767
5|13|1,514111|4,841343|7,156632|7,468806|7,661529|12,056710|17,408433|16,091789|7,661529
5|14|1,518790|4,445507|6,539911|6,857803|7,006799|12,024201|16,935462|15,506560|7,006799
5|15|1,545354|6,145823|8,418417|8,782712|9,089204|12,265782|20,598911|20,289569|9,089204
6|1|2,317470|11,534501|16,730466|16,944226|18,028742|12,177511|16,612446|17,100008|18,028742
6|2|1,536971|4,763016|6,911835|7,281466|8,036091|12,073027|18,190417|15,499844|8,036091
6|3|1,538508|4,506420|6,646934|6,975514|7,769141|12,030502|16,669284|14,704453|7,769141
6|4|1,523062|4,675467|6,641112|6,990219|7,640186|12,061368|18,716950|15,914783|7,640186
6|5|1,533162|4,468356|6,389818|6,721725|7,410430|11,989306|16,043967|14,359621|7,410430
6|6|1,799512|7,207272|8,680096|9,107200|9,730318|12,089045|16,839091|16,166111|9,730318
6|7|1,562551|4,416425|4,590436|5,019846|5,777286|11,899020|11,972364|10,032201|5,777286
6|8|1,551725|5,368794|7,204271|7,564996|8,266888|12,178661|19,508175|17,567697|8,266888
6|9|1,528981|4,496016|6,534182|6,864145|7,610752|12,024763|17,288223|15,068334|7,610752
