window|hide layer 1|hyde layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|5|2|1,652793|7,239761|8,978597|9,481516|9,909495|12,096939|15,675814|16,338475|9,909495
2|5|3|1,520444|5,218039|7,151889|7,666849|8,308830|11,994145|14,615764|14,662763|8,308830
2|5|4|1,500543|6,039103|8,869363|9,380177|10,229670|12,037562|15,267995|15,809908|10,229670
2|5|5|1,544381|5,465606|8,485290|8,967691|9,652506|11,954564|14,458243|14,771259|9,652506
2|5|6|1,534945|5,398045|7,096153|7,620604|8,213753|12,011287|14,627072|14,578257|8,213753
2|5|7|1,595754|7,354243|9,218826|9,706205|10,055887|12,148935|16,007977|16,824575|10,055887
2|5|8|1,558421|6,048570|7,786393|8,296539|8,689641|12,092548|15,631356|16,490249|8,689641
2|5|9|1,454680|3,371349|3,880867|4,408477|4,757070|11,797678|10,696438|9,789031|4,757070
2|5|10|1,732502|6,031747|6,696944|7,259575|7,755952|12,032941|14,545253|14,286547|7,755952
2|5|11|1,519067|5,268869|7,002140|7,520304|8,094767|12,014409|14,788711|14,891800|8,094767
2|5|12|1,564689|6,358953|7,973024|8,486812|8,963168|12,046667|15,233038|15,744479|8,963168
2|5|13|1,496469|4,696624|6,895966|7,415107|8,106369|11,933733|13,846477|13,602406|8,106369
2|5|14|1,458015|3,089861|3,756656|4,283590|4,605128|11,791756|10,538229|9,634477|4,605128
2|5|15|1,573223|7,360981|9,290836|9,792896|10,141429|12,166455|16,250911|17,270149|10,141429
2|6|1|1,818505|7,212516|7,838515|8,384560|9,197410|11,894328|13,451665|13,318717|9,197410
2|6|2|1,542968|5,697128|7,796998|8,304584|8,886340|12,075732|15,511589|16,184350|8,886340
2|6|3|1,524749|5,620409|7,864657|8,380196|9,045039|12,041475|15,215681|15,673819|9,045039
2|6|4|1,501514|5,901605|8,517787|9,031060|9,790823|12,048976|15,280810|15,756464|9,790823
2|6|5|1,518174|5,331954|8,048190|8,557969|9,332905|11,989305|14,679108|14,857801|9,332905
2|6|6|1,544949|6,021329|7,978902|8,493728|9,046092|12,092106|15,632803|16,427766|9,046092
2|6|7|1,527152|4,714813|6,029284|6,548380|7,077952|11,929729|13,634407|13,202026|7,077952
2|6|8|1,527661|6,318761|8,742058|9,254023|9,962342|12,096462|15,813509|16,731613|9,962342
2|6|9|1,546038|5,089129|7,381648|7,895867|8,694277|11,932540|13,917249|13,842498|8,694277
2|6|10|1,511415|5,152108|6,574069|7,100763|7,597228|11,954191|14,091267|13,932322|7,597228
2|6|11|1,495862|6,264018|9,401080|9,911144|10,786584|12,079360|15,721103|16,537432|10,786584
2|6|12|1,533227|5,001357|6,428639|6,945469|7,458674|11,980581|14,356749|14,203309|7,458674
2|6|13|1,546125|5,489004|6,772413|7,299899|7,783740|12,001048|14,515397|14,442441|7,783740
2|6|14|1,728238|8,681692|11,240981|11,757038|12,610417|12,163221|16,119577|16,736122|12,610417
2|6|15|1,528459|5,018605|7,064706|7,580507|8,246640|11,970861|14,342796|14,267801|8,246640
2|7|1|1,602790|4,309248|3,632935|4,180451|4,245692|11,834205|11,852359|10,730862|4,245692
2|7|2|1,534389|5,605789|7,794013|8,299148|8,902891|12,041195|15,205842|15,668734|8,902891
2|7|3|1,522606|5,347304|7,186993|7,703740|8,293235|12,005965|14,698130|14,773154|8,293235
2|7|4|1,539501|6,416617|8,392354|8,901490|9,433901|12,082140|15,643183|16,468589|9,433901
2|7|5|1,529252|5,964124|7,827063|8,333198|8,826329|12,047197|15,229825|15,730710|8,826329
2|7|6|1,522927|6,301455|9,255111|9,761482|10,540557|12,107876|16,010938|17,068197|10,540557
2|7|7|1,563383|5,374228|7,678878|8,187236|8,986566|11,946233|14,121262|14,099980|8,986566
2|7|8|1,523372|5,092308|6,924963|7,435125|8,076272|11,955149|14,149751|14,027793|8,076272
2|7|9|1,529724|5,084393|6,916597|7,427488|7,999089|12,001736|14,676558|14,704675|7,999089
2|7|10|1,532180|5,026061|6,958570|7,467296|8,131939|11,941727|13,952926|13,766100|8,131939
2|7|11|1,511244|5,023791|7,373144|7,881691|8,647335|11,946219|14,142916|14,096060|8,647335
2|7|12|1,527027|4,934744|6,582155|7,092876|7,714657|11,937078|13,852769|13,588121|7,714657
2|7|13|1,786605|5,891793|9,146308|9,644221|10,564215|11,995148|14,926951|15,351660|10,564215
2|7|14|1,559347|4,477985|4,610073|5,157305|5,476770|11,863924|12,520880|11,704571|5,476770
2|7|15|1,535616|4,951094|7,039888|7,548173|8,209608|11,938585|13,996756|13,900472|8,209608
2|8|1|2,728323|7,680527|12,159823|12,611975|13,838569|14,927744|21,776474|26,269241|13,838569
2|8|2|1,538643|4,725053|6,506645|7,011114|7,613647|11,920187|13,618286|13,321826|7,613647
2|8|3|1,535596|4,904973|7,044922|7,550490|8,228213|11,943216|14,035299|13,904947|8,228213
2|8|4|1,588150|4,939027|7,332796|7,839002|8,485140|11,956865|14,483510|14,724741|8,485140
2|8|5|1,539861|6,819184|9,274610|9,778188|10,417743|12,131230|16,162689|17,342626|10,417743
2|8|6|1,505988|5,915487|8,460293|8,973355|9,716132|12,074544|15,639423|16,426149|9,716132
2|8|7|1,525773|6,825065|9,554235|10,051401|10,727360|12,149809|16,302904|17,522962|10,727360
2|8|8|1,713715|7,538498|9,362722|9,892667|10,727789|12,055885|14,898005|14,836038|10,727789
2|8|9|1,576105|5,176572|7,999182|8,483624|9,178517|11,935801|14,150702|14,337601|9,178517
2|8|10|1,568500|6,957800|9,166466|9,665695|10,204719|12,116674|16,035028|17,136385|10,204719
2|8|11|1,544283|5,893441|9,217950|9,698099|10,368593|11,999756|15,018828|15,539799|10,368593
2|8|12|1,535512|5,487432|7,996633|8,490878|9,115575|12,018375|15,065349|15,484739|9,115575
2|8|13|1,621009|6,604925|8,932275|9,436174|10,073002|12,123085|15,999809|17,037842|10,073002
2|8|14|1,632599|4,844362|4,701744|5,270670|5,514876|11,988835|13,542825|12,558902|5,514876
