rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0,3|0,35|2.0|1,574164|4,836877|5,697684|6,383141|7,533052|15,238023|12,899730|12,141933|7,533052
0,3|0,4|2.0|1,531319|4,272290|3,074598|3,752935|4,714891|17,004871|9,869767|8,930238|4,714891
0,3|0,45|2.0|1,696551|4,257411|2,945871|1,572912|1,255674|27,231887|10,321874|3,367309|1,255674
0,3|0,5|2.0|1,738476|8,573846|3,368098|2,080884|1,551023|22,818197|5,642287|3,934101|1,551023
0,3|0,55|2.0|1,523620|4,081434|1,884260|1,064221|0,610752|21,755623|4,353992|1,195962|0,610752
0,3|0,6|2.0|1,820507|6,595885|4,268969|5,008678|6,195193|16,292691|11,182013|9,525531|6,195193
0,3|0,65|2.0|1,579372|6,114446|2,986788|3,686159|4,466461|23,661731|11,051635|10,040935|4,466461
0,3|0,7|2.0|1,459061|3,626065|1,887297|1,171003|0,886055|21,722637|4,111627|1,228971|0,886055
0,3|0,75|2.0|1,503892|4,172593|3,325460|2,270471|0,981645|24,932498|7,317928|4,186172|0,981645
0,3|0,8|2.0|1,508113|3,448204|1,430374|1,257091|1,585855|18,376457|1,894525|1,318608|1,585855
0,3|0,85|2.0|1,442649|2,769388|2,115017|2,670012|3,905782|22,276315|4,585929|4,683797|3,905782
0,3|0,9|2.0|1,377313|2,439940|1,312294|1,258302|2,224799|24,825744|1,480326|1,557201|2,224799
0,3|0,95|2.0|1,366282|2,270769|1,330500|1,372223|2,374253|25,577640|1,297984|1,825171|2,374253
0,3|1|2.0|121,773837|8,935347|11,616136|12,066796|14,521012|34,516947|13,190265|11,790204|14,521012
0,3|1,05|2.0|894,465864|16,771291|24,125812|24,386186|26,558653|12,010704|18,100521|19,143041|26,558653
0,3|1,1|2.0|653,654019|56,178759|26,951235|26,716757|24,806815|44,603021|28,193428|24,997195|24,806815
0,3|1,15|2.0|361,084356|62,206320|52,608043|51,770157|50,569068|78,141687|59,376959|58,528402|50,569068
0,3|1,2|2.0|184,458879|47,519035|29,677072|29,028897|27,751787|36,233452|22,602384|27,285295|27,751787
0,3|1,25|2.0|262,378486|10,091030|11,155931|11,996339|12,715602|12,340222|17,028706|16,207475|12,715602
0,3|1,3|2.0|66,847702|15,007756|20,435203|20,792698|23,677150|18,932667|26,889292|27,103378|23,677150
0,3|1,35|2.0|103,587477|15,601216|5,808651|6,360489|9,397529|57,223922|34,334370|39,848319|9,397529
0,3|1,4|2.0|385,745844|67,345202|55,366853|54,697220|53,365922|52,338978|42,165591|43,552858|53,365922
0,3|1,45|2.0|370,716787|19,028483|27,591547|28,090568|30,000110|19,199674|29,420197|27,594953|30,000110
0,3|1,5|2.0|296,731363|45,892274|24,792709|25,103267|21,292892|36,644709|20,866626|23,953487|21,292892
0,3|1,55|2.0|302,452572|57,465721|39,748779|39,137651|37,434578|52,686546|34,013744|38,473973|37,434578
0,3|1,6|2.0|238,222710|54,316677|40,958174|40,342260|39,023440|51,801051|31,308933|32,875069|39,023440
0,3|1,65|2.0|423,885299|52,316575|20,997132|21,752644|16,834228|29,845468|19,832112|23,582435|16,834228
0,3|1,7|2.0|847,733078|21,075154|31,391458|32,145649|33,059099|26,962430|33,800281|34,924214|33,059099
0,3|1,75|2.0|857,445657|22,810536|33,395064|33,842450|35,752388|19,270941|30,645123|30,322486|35,752388
0,3|1,8|2.0|575,259496|29,243481|2,986250|2,568384|1,056190|18,380653|5,047651|6,937502|1,056190
