window|hide layer|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
6|5|1,522887|4,467646|6,696552|6,989554|7,523898|12,101318|16,694208|15,321597|7,523898
6|6|1,519585|4,856051|7,556293|7,853658|8,497863|12,084790|17,772672|16,625669|8,497863
6|7|1,519115|4,696237|6,866880|7,227757|7,891528|12,068724|17,244243|15,504790|7,891528
6|8|1,525524|5,312569|7,984277|8,297120|9,097543|12,112658|18,837468|16,681763|9,097543
6|9|1,509187|4,526811|6,753327|7,076922|7,666148|12,068016|17,370155|15,744057|7,666148
6|10|1,543017|5,216352|7,480966|7,822805|8,511392|12,164101|20,884604|17,615098|8,511392
6|11|1,509303|4,678641|6,898313|7,217260|7,829236|12,090448|18,309928|16,198169|7,829236
6|12|1,506965|5,757813|8,396500|8,706031|9,345234|12,519029|23,011098|20,116400|9,345234
6|13|1,539597|5,285406|7,697597|8,029010|8,717407|12,195403|20,838040|18,339883|8,717407
6|14|1,543734|5,521718|7,918809|8,253489|8,924453|12,127097|19,149243|17,444986|8,924453
6|15|1,518801|4,851098|7,161276|7,478417|8,132750|12,037963|17,837462|15,872697|8,132750
7|1|2,226676|10,730658|11,737164|12,346895|13,835538|11,870355|12,711635|13,061275|13,835538
7|2|1,537681|5,251712|7,315008|7,657247|8,266413|12,083768|18,428087|15,906935|8,266413
7|3|1,540387|4,873490|6,162352|6,580370|7,134515|11,965902|15,156226|13,195803|7,134515
7|4|1,589757|4,859788|4,841955|5,978749|7,002496|11,801967|9,245493|8,266408|7,002496
7|5|1,547670|5,411355|7,259325|7,629898|8,265317|12,203607|19,478696|15,640827|8,265317
7|6|1,532635|4,381250|5,795375|6,148053|6,795069|12,073097|14,910825|12,998190|6,795069
7|7|1,544738|5,243013|7,121925|7,490666|8,151401|12,201646|20,366860|16,197308|8,151401
7|8|1,546955|4,848475|6,923071|7,249082|7,791486|12,051647|18,728413|16,002355|7,791486
7|9|1,555266|5,260869|6,479471|6,873687|7,569051|12,129089|15,637922|12,763777|7,569051
7|10|1,533674|4,625693|6,642864|6,969037|7,506078|11,974068|17,289855|15,391286|7,506078
7|11|1,535634|4,664093|5,901581|6,294769|6,860073|12,116842|17,312490|14,140937|6,860073
7|12|1,546991|5,116591|7,088991|7,452028|8,180983|12,138024|18,971532|15,619855|8,180983
7|13|1,540456|4,615895|6,045903|6,424169|7,120248|12,105514|16,287702|13,655288|7,120248
