func activ -Sigmoid(2.0) , init - RandomInitializer() 500 iteracji
window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
5|4|150,795233|27,510550|14,342735|13,807871|12,064978|27,510548|14,342734|13,807870|12,064978
5|5|150,795094|27,510555|14,342741|13,807876|12,064983|27,510553|14,342740|13,807876|12,064983
5|6|150,795048|27,510558|14,342744|13,807879|12,064986|27,510556|14,342743|13,807879|12,064986
5|7|150,795024|27,510560|14,342746|13,807882|12,064989|27,510559|14,342746|13,807882|12,064989
5|8|150,795005|27,510566|14,342753|13,807888|12,064996|27,510565|14,342752|13,807888|12,064996
5|9|150,795014|27,510568|14,342755|13,807891|12,064998|27,510568|14,342755|13,807890|12,064998
5|10|150,794942|27,510563|14,342749|13,807885|12,064992|27,510562|14,342749|13,807885|12,064992
5|11|150,794956|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
5|12|150,794986|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
5|13|150,794931|27,510567|14,342753|13,807889|12,064996|27,510566|14,342753|13,807889|12,064996
5|14|150,794923|27,510566|14,342752|13,807888|12,064995|27,510565|14,342752|13,807888|12,064995
5|15|150,794999|27,510567|14,342754|13,807889|12,064996|27,510566|14,342753|13,807889|12,064996
5|16|150,794914|27,510569|14,342756|13,807891|12,064999|27,510569|14,342756|13,807891|12,064999
5|17|150,795018|27,510570|14,342757|13,807892|12,064999|27,510570|14,342757|13,807892|12,064999
5|18|897,791051|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
5|19|897,790994|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
5|20|897,790975|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
6|1|150,471920|27,510247|14,342414|13,807550|12,064656|27,510246|14,342414|13,807550|12,064656
6|2|150,471090|27,510444|14,342623|13,807759|12,064865|27,510443|14,342623|13,807758|12,064865
6|3|150,470781|27,510533|14,342718|13,807854|12,064961|27,510532|14,342717|13,807853|12,064961
6|4|150,470649|27,510550|14,342736|13,807872|12,064979|27,510549|14,342736|13,807871|12,064979
6|5|150,470641|27,510559|14,342745|13,807881|12,064988|27,510559|14,342745|13,807881|12,064988
6|6|150,470573|27,510550|14,342736|13,807872|12,064979|27,510550|14,342736|13,807872|12,064979
6|7|150,470505|27,510568|14,342755|13,807890|12,064997|27,510567|14,342754|13,807890|12,064997
6|8|150,470507|27,510567|14,342753|13,807889|12,064996|27,510566|14,342753|13,807889|12,064996
6|9|150,470509|27,510567|14,342754|13,807889|12,064997|27,510567|14,342754|13,807889|12,064997
6|10|150,470453|27,510567|14,342754|13,807890|12,064997|27,510567|14,342754|13,807889|12,064997
6|11|150,470500|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
6|12|150,470481|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
6|13|150,470468|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
6|14|150,470420|27,510567|14,342754|13,807890|12,064997|27,510567|14,342754|13,807890|12,064997
6|15|150,470467|27,510566|14,342753|13,807888|12,064995|27,510566|14,342753|13,807888|12,064995
6|16|150,470548|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
6|17|150,470397|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
6|18|150,470617|27,510568|14,342755|13,807890|12,064998|27,510568|14,342755|13,807890|12,064998
6|19|896,160942|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
6|20|896,160768|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
7|1|150,143784|27,510271|14,342440|13,807575|12,064681|27,510270|14,342439|13,807575|12,064681
7|2|150,142955|27,510447|14,342627|13,807763|12,064869|27,510447|14,342627|13,807763|12,064869
7|3|150,142670|27,510552|14,342738|13,807874|12,064981|27,510552|14,342738|13,807874|12,064981
7|4|150,142565|27,510551|14,342737|13,807873|12,064980|27,510550|14,342737|13,807873|12,064980
7|5|150,142493|27,510564|14,342751|13,807887|12,064994|27,510564|14,342751|13,807887|12,064994
7|6|150,142434|27,510563|14,342750|13,807885|12,064992|27,510563|14,342749|13,807885|12,064992
7|7|150,142430|27,510563|14,342749|13,807885|12,064992|27,510563|14,342749|13,807885|12,064992
7|8|150,142456|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
7|9|150,142470|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
7|10|150,142389|27,510569|14,342756|13,807891|12,064998|27,510569|14,342756|13,807891|12,064998
7|11|150,142327|27,510567|14,342754|13,807889|12,064996|27,510567|14,342753|13,807889|12,064996
7|12|150,142375|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
7|13|150,142353|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
7|14|150,142311|27,510568|14,342755|13,807891|12,064998|27,510568|14,342755|13,807891|12,064998
7|15|150,142333|27,510569|14,342757|13,807892|12,064999|27,510569|14,342757|13,807892|12,064999
7|16|150,142304|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
7|17|150,142318|27,510570|14,342757|13,807892|12,064999|27,510570|14,342757|13,807892|12,064999
7|18|150,142297|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
7|19|894,522676|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
7|20|894,521992|29,095577|39,118850|39,636836|41,330000|29,095577|39,118850|39,636837|41,330000
8|1|149,840801|27,510248|14,342416|13,807551|12,064657|27,510248|14,342415|13,807551|12,064657
8|2|149,839962|27,510465|14,342646|13,807781|12,064888|27,510465|14,342645|13,807781|12,064888
8|3|149,839677|27,510537|14,342722|13,807858|12,064965|27,510536|14,342722|13,807857|12,064965
8|4|149,839869|27,510569|14,342756|13,807891|12,064998|27,510569|14,342756|13,807891|12,064998
8|5|149,839477|27,510557|14,342743|13,807879|12,064986|27,510557|14,342743|13,807879|12,064986
8|6|149,839433|27,510563|14,342749|13,807885|12,064992|27,510562|14,342749|13,807885|12,064992
8|7|149,839491|27,510566|14,342753|13,807888|12,064996|27,510566|14,342753|13,807888|12,064996
8|8|149,839515|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
8|9|149,839485|27,510569|14,342757|13,807892|12,064999|27,510569|14,342757|13,807892|12,064999
8|10|149,839462|27,510570|14,342757|13,807893|12,065000|27,510570|14,342757|13,807893|12,065000
8|11|149,839353|27,510568|14,342755|13,807890|12,064998|27,510568|14,342755|13,807890|12,064998
8|12|149,839376|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
8|13|149,839362|27,510570|14,342757|13,807892|12,064999|27,510570|14,342757|13,807892|12,064999
8|14|149,839406|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
8|15|892,941160|29,095577|39,118850|39,636836|41,330000|29,095577|39,118850|39,636836|41,330000
8|16|149,839353|27,510569|14,342757|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
8|17|149,839711|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
8|18|149,839579|27,510568|14,342755|13,807890|12,064997|27,510568|14,342754|13,807890|12,064997
8|19|149,839366|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
8|20|892,941305|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
9|1|149,535183|27,510274|14,342443|13,807579|12,064685|27,510273|14,342443|13,807579|12,064685
9|2|149,534041|27,510523|14,342708|13,807843|12,064950|27,510523|14,342707|13,807843|12,064950
9|3|149,534103|27,510514|14,342698|13,807834|12,064940|27,510514|14,342698|13,807834|12,064940
9|4|149,534227|27,510569|14,342756|13,807891|12,064998|27,510569|14,342756|13,807891|12,064998
9|5|149,533852|27,510567|14,342754|13,807890|12,064997|27,510567|14,342754|13,807890|12,064997
9|6|149,533959|27,510568|14,342755|13,807890|12,064998|27,510568|14,342755|13,807890|12,064998
9|7|149,533961|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
9|8|149,533910|27,510570|14,342757|13,807892|12,064999|27,510570|14,342757|13,807892|12,064999
9|9|149,533849|27,510569|14,342756|13,807891|12,064999|27,510569|14,342756|13,807891|12,064999
9|10|149,533809|27,510568|14,342755|13,807891|12,064998|27,510568|14,342755|13,807891|12,064998
9|11|149,533788|27,510569|14,342757|13,807892|12,064999|27,510569|14,342757|13,807892|12,064999
9|12|149,533782|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
9|13|149,533787|27,510570|14,342757|13,807893|12,065000|27,510570|14,342757|13,807893|12,065000
9|14|149,533807|27,510569|14,342757|13,807892|12,064999|27,510569|14,342757|13,807892|12,064999
9|15|149,533767|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
9|16|149,533957|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
9|17|149,533680|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
9|18|149,533747|27,510570|14,342757|13,807893|12,065000|27,510570|14,342757|13,807893|12,065000
9|19|149,533704|27,510570|14,342757|13,807893|12,065000|27,510570|14,342757|13,807893|12,065000
9|20|891,353796|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
