rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0,3|0,35|2.0|1,137826|5,559530|1,316389|1,499098|2,818292|6,468964|1,315384|1,504489|2,818292
0,3|0,4|2.0|1,101153|5,106848|1,306713|1,488425|2,803677|6,459694|1,291528|1,473730|2,803677
0,3|0,45|2.0|1,112113|5,233137|1,224667|1,046316|1,913639|18,709396|1,275261|1,095019|1,913639
0,3|0,5|2.0|1,049307|4,510592|1,320391|1,482828|2,595186|14,733821|1,246482|1,400463|2,595186
0,3|0,55|2.0|1,097185|4,803559|1,326564|1,482771|2,526589|6,687656|1,259108|1,379716|2,526589
0,3|0,6|2.0|1,059603|4,528601|1,413186|1,678205|3,078520|6,325727|1,366953|1,651773|3,078520
0,3|0,65|2.0|0,909631|3,668675|1,286369|1,391509|2,541841|16,898821|1,192193|1,342318|2,541841
0,3|0,7|2.0|1,152939|4,792290|1,301199|1,416620|2,472292|8,594588|1,227896|1,302188|2,472292
0,3|0,75|2.0|0,990309|4,976567|1,328428|1,529334|2,837136|6,376062|1,274582|1,483180|2,837136
0,3|0,8|2.0|0,907785|3,186708|1,393472|1,619975|2,762353|6,576071|1,275938|1,663941|2,762353
0,3|0,85|2.0|0,878820|4,040170|1,443589|1,718290|2,940249|6,308108|1,342357|1,642611|2,940249
0,3|0,9|2.0|0,821063|2,908148|1,331335|1,465664|2,572006|6,553313|1,208821|1,402706|2,572006
0,3|0,95|2.0|0,910558|2,369050|1,351392|1,491448|2,567357|7,626165|1,204990|1,618790|2,567357
0,3|1|2.0|122,076148|29,569198|35,894288|36,364618|38,052188|22,893000|28,998981|30,669505|38,052188
0,3|1,05|2.0|17,518132|10,860606|13,996567|14,529878|16,158756|32,632011|24,764287|18,278514|16,158756
0,3|1,1|2.0|52,586778|12,428160|15,918411|16,329179|18,216676|9,671421|14,208264|14,402840|18,216676
0,3|1,15|2.0|215,104006|33,508544|37,576162|38,125175|39,843224|27,230146|33,015713|34,124760|39,843224
0,3|1,2|2.0|34,719277|4,605651|5,720959|6,238583|7,797488|6,705579|6,474368|7,039493|7,797488
0,3|1,25|2.0|47,077529|16,375288|19,328435|19,785180|21,761411|24,329065|23,659728|20,224727|21,761411
0,3|1,3|2.0|134,915133|27,796616|32,171609|32,696687|34,335871|24,533764|28,727304|29,622326|34,335871
0,3|1,35|2.0|154,828348|29,527847|33,963200|34,473663|36,153246|30,365991|34,078540|34,263307|36,153246
0,3|1,4|2.0|144,198450|5,849395|1,703490|2,051631|2,865016|5,644440|2,180594|2,956096|2,865016
0,3|1,45|2.0|41,887708|8,725561|6,579938|7,274387|8,390052|33,865877|27,006257|15,588571|8,390052
0,3|1,5|2.0|153,779320|29,044282|33,207743|33,724768|35,463411|24,863655|30,181449|31,232327|35,463411
0,3|1,55|2.0|228,101790|34,453820|38,914335|39,426982|41,148157|34,079332|37,439155|36,346506|41,148157
0,3|1,6|2.0|206,317436|33,080474|37,487958|38,004078|39,698511|30,440720|35,962710|36,607231|39,698511
0,3|1,65|2.0|176,941632|8,976050|2,631228|2,082047|0,237090|8,972214|2,549743|2,047985|0,237090
0,3|1,7|2.0|31,991052|4,234316|5,063713|5,530067|7,326783|4,912557|4,839721|5,080257|7,326783
0,3|1,75|2.0|60,271861|11,815371|6,889305|7,934055|9,020545|33,569637|31,636535|26,534069|9,020545
0,3|1,8|2.0|86,782145|18,028323|20,078179|20,478401|22,509223|27,416991|23,149289|18,623850|22,509223
0,3|1,85|2.0|28,220764|4,650359|6,817940|7,379735|8,698329|6,066564|8,277448|8,548099|8,698329
0,3|1,9|2.0|77,766065|18,247472|23,824695|24,193022|26,069600|12,021441|17,519280|19,546888|26,069600
0,3|1,95|2.0|205,664103|32,573573|36,566834|37,064604|38,778023|28,191057|31,255222|33,419585|38,778023
0,3|2|2.0|9,561186|4,027434|4,665370|5,322164|6,320744|12,501951|8,933054|7,696005|6,320744
