window|hide layer 1|hide layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|1|0,946462|2,464576|1,283255|1,416457|2,289697|6,669514|1,279872|1,584802|2,289697
2|1|2|1,373864|2,762655|1,275983|1,381659|2,108903|6,736710|1,253900|1,561624|2,108903
2|1|3|1,106293|3,382604|1,285735|1,418946|2,282451|6,644757|1,297223|1,589894|2,282451
2|1|4|1,082873|3,698501|1,284453|1,431301|2,460176|6,627598|1,301294|1,551933|2,460176
2|1|5|1,108444|3,922966|1,302338|1,447823|2,379768|6,606773|1,325090|1,592536|2,379768
2|1|6|1,841754|6,492074|1,225152|1,316992|2,551963|6,767653|1,225048|1,317128|2,551963
2|1|7|1,581567|6,618935|1,291920|1,452660|2,751712|6,637999|1,291878|1,452496|2,751712
2|1|8|1,274569|4,249809|1,232492|1,224529|1,845657|7,006997|1,202626|1,288262|1,845657
2|1|9|1,296167|4,323732|1,295346|1,445282|2,441093|6,609322|1,317177|1,576490|2,441093
2|1|10|1,033414|4,293557|1,296368|1,460936|2,630886|6,606652|1,311305|1,530754|2,630886
2|1|11|1,719873|2,855445|1,369783|1,504066|1,854119|6,753930|1,273883|1,732219|1,854119
2|1|12|1,316908|2,963146|1,309683|1,440481|2,091380|6,668889|1,292371|1,667019|2,091380
2|1|13|1,244625|3,921096|1,283206|1,430578|2,472670|6,631730|1,297571|1,546505|2,472670
2|1|14|1,506477|5,776730|1,293308|1,463056|2,786630|6,641557|1,283893|1,452677|2,786630
2|1|15|1,516701|6,093148|1,270818|1,414984|2,688935|6,671349|1,271147|1,419509|2,688935
2|1|16|1,357561|3,945851|1,280761|1,407664|2,310132|6,676156|1,280171|1,543018|2,310132
2|1|17|1,617320|6,000653|1,294957|1,462876|2,747670|6,626812|1,295629|1,474378|2,747670
2|1|18|1,743242|6,642482|1,272432|1,416910|2,701269|6,670444|1,272412|1,416823|2,701269
2|1|19|1,308897|4,110834|1,234032|1,310447|2,219207|6,780199|1,230837|1,409095|2,219207
2|1|20|1,758152|5,447927|1,296055|1,461866|2,662384|6,608312|1,309483|1,518309|2,662384
2|2|1|1,706388|6,176898|1,239623|1,350314|2,600079|6,733680|1,239741|1,351675|2,600079
2|2|2|0,928127|3,022528|1,258859|1,377099|2,344118|6,701996|1,259137|1,500770|2,344118
2|2|3|1,047052|3,306572|1,290880|1,427021|2,293831|6,639693|1,301656|1,591409|2,293831
2|2|4|1,494756|3,479887|1,274734|1,400185|2,278136|6,670950|1,279958|1,563625|2,278136
2|2|5|0,997542|3,559102|1,284275|1,435021|2,507495|6,631442|1,296277|1,539506|2,507495
2|2|6|1,082588|4,669466|1,299414|1,463552|2,603957|6,601527|1,316461|1,545164|2,603957
2|2|7|0,955447|3,796501|1,287229|1,421035|2,269025|6,654675|1,290476|1,599747|2,269025
2|2|8|1,208033|3,582526|1,282537|1,421791|2,351474|6,637786|1,296585|1,581291|2,351474
2|2|9|1,243921|3,519327|1,294587|1,428579|2,228192|6,647521|1,298386|1,616408|2,228192
2|2|10|1,969657|6,410097|1,263238|1,399223|2,675446|6,686863|1,263236|1,399340|2,675446
