indicators|argument|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
ema|1|1,001112|3,954085|1,328286|1,506708|2,695925|6,627160|1,324991|1,543315|2,695925
ema|2|0,802759|3,265598|1,322206|1,488971|2,753053|6,839218|1,183520|1,664136|2,753053
ema|3|0,824793|3,180244|1,295798|1,430481|2,668267|6,878996|1,176027|1,571577|2,668267
ema|4|0,827109|3,076977|1,369862|1,588139|2,835476|6,702944|1,258555|1,626973|2,835476
ema|5|0,885364|3,924761|1,383193|1,596595|2,883195|6,806756|1,202656|1,671941|2,883195
ema|6|0,844020|3,595424|1,362740|1,567885|2,786384|6,799195|1,209368|1,655315|2,786384
ema|7|0,896841|3,924802|1,349666|1,559664|2,853918|6,691483|1,254645|1,628196|2,853918
ema|8|0,875868|4,018423|1,386489|1,598644|2,872648|6,821498|1,202041|1,620642|2,872648
ema|9|0,818888|3,385226|1,404576|1,617497|2,793902|6,948738|1,169346|1,776741|2,793902
ema|10|0,778345|3,284418|1,423029|1,668769|2,854270|6,816655|1,206285|1,829993|2,854270
ema|11|0,837964|3,398220|1,429199|1,656800|2,769964|6,943193|1,200205|1,809623|2,769964
ema|12|0,760347|2,816617|1,385337|1,604834|2,860727|6,770156|1,216459|1,759123|2,860727
ema|13|0,744031|2,776663|1,402362|1,623090|2,876206|6,756888|1,230695|1,767666|2,876206
ema|14|0,978436|4,075189|1,421195|1,619052|2,753153|7,151787|1,151814|1,809039|2,753153
ema|15|0,854804|3,624677|1,421509|1,647985|2,814150|6,937079|1,175757|1,803219|2,814150
ema|16|0,771442|2,816644|1,425948|1,656382|2,970683|6,685854|1,286630|1,735174|2,970683
ema|17|0,772080|2,910956|1,323082|1,503758|2,764124|6,751412|1,222932|1,599437|2,764124
ema|18|0,771485|3,092711|1,356822|1,539930|2,908986|6,703282|1,299972|1,453285|2,908986
ema|19|0,760887|2,942401|1,338073|1,512896|2,738756|6,867401|1,181070|1,632803|2,738756
ema|20|0,811999|3,245784|1,417455|1,649862|2,820715|6,858414|1,190779|1,805641|2,820715
ema|21|0,756545|2,787931|1,477761|1,735842|3,127376|6,601053|1,357101|1,760250|3,127376
ema|22|0,829841|3,664617|1,244601|1,293542|2,471990|7,019615|1,163084|1,405560|2,471990
ema|23|0,797440|3,597342|1,397897|1,598312|2,824546|6,922748|1,171167|1,776613|2,824546
ema|24|0,769550|2,982529|1,398905|1,613308|2,849551|6,786273|1,220944|1,753567|2,849551
ema|25|0,770317|3,040800|1,478244|1,719073|3,081564|6,651900|1,333375|1,790684|3,081564
ema|26|0,720872|2,909945|1,364165|1,552479|2,721631|6,899824|1,188990|1,684235|2,721631
ema|27|0,775954|3,172107|1,313025|1,483072|2,726450|6,793000|1,204908|1,583371|2,726450
ema|28|0,756612|3,038655|1,301925|1,443681|2,640430|6,884584|1,181687|1,543969|2,640430
ema|29|0,802608|3,520055|1,391918|1,625020|2,869047|6,747433|1,230818|1,750514|2,869047
roc|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
roc|1|1,015241|3,472175|1,293633|1,390667|2,355234|6,882622|1,307501|1,568596|2,355234
roc|2|1,107307|4,380154|1,284299|1,432855|2,631423|6,743644|1,265374|1,399878|2,631423
roc|3|0,972170|3,801207|1,228746|1,262479|2,383432|6,869027|1,216783|1,232379|2,383432
roc|4|1,037427|3,990317|1,206915|1,072471|1,785391|6,970392|1,246716|1,071526|1,785391
roc|5|1,019281|3,906736|1,304034|1,501623|2,770592|6,665652|1,279280|1,532450|2,770592
roc|6|0,923092|3,335572|1,363612|1,279464|1,993781|7,111488|1,268391|1,572843|1,993781
roc|7|0,892819|3,399596|1,276701|1,509155|2,575840|6,778604|1,223396|1,655988|2,575840
roc|8|1,098174|5,072567|1,151040|1,442612|1,717807|7,354307|1,157589|1,549481|1,717807
roc|9|1,037976|3,973675|1,251747|1,425341|2,582655|6,739486|1,226106|1,498629|2,582655
roc|10|0,957497|4,052646|1,260041|1,326922|2,422808|7,076030|1,206709|1,449260|2,422808
roc|11|0,945516|3,898110|1,261338|1,311041|2,405191|6,927716|1,269404|1,441172|2,405191
roc|12|0,927685|3,827249|1,338985|1,454718|2,696950|7,114213|1,229007|1,602434|2,696950
roc|13|0,925807|3,350661|1,387746|1,506331|2,940025|7,047451|1,399653|1,602887|2,940025
roc|14|0,896916|3,475473|1,366090|1,202719|2,395032|7,403229|1,528222|1,122306|2,395032
roc|15|0,933700|4,066495|1,384689|1,389930|2,640404|7,232463|1,388673|1,408510|2,640404
roc|16|0,963140|3,998008|1,323692|1,038125|1,917452|7,093968|1,461805|1,008882|1,917452
roc|17|0,884172|3,414221|1,336213|1,047424|1,929019|7,207385|1,543490|0,919076|1,929019
roc|18|0,900142|3,561104|1,581897|1,099959|1,481682|7,433764|1,970833|0,938218|1,481682
roc|19|1,097332|4,348723|1,671774|1,086902|1,467580|7,080113|2,056007|1,050685|1,467580
roc|20|0,895434|4,104983|1,326137|1,008954|1,712352|7,107003|1,497426|0,900589|1,712352
roc|21|1,165195|5,595932|1,204928|1,105842|2,118956|6,807792|1,219103|1,081663|2,118956
roc|22|0,924456|4,651005|1,549657|1,217389|1,517895|7,222868|1,848984|1,069643|1,517895
roc|23|1,040655|4,844858|1,461299|1,037864|1,397713|7,173897|1,600083|1,002483|1,397713
roc|24|0,929963|3,486172|1,318266|1,042480|1,719377|7,188683|1,489658|0,894901|1,719377
roc|25|0,952134|3,801164|1,306841|1,147215|2,052575|7,318966|1,394401|0,988023|2,052575
roc|26|1,078413|5,064648|1,279453|1,046980|1,843596|6,969503|1,325558|0,940245|1,843596
roc|27|0,953659|3,602512|1,253469|1,118745|2,076146|6,941424|1,286988|0,977540|2,076146
roc|28|0,916406|3,934121|1,399522|0,947435|1,520457|7,333218|1,587783|0,852758|1,520457
roc|29|0,970755|3,769710|1,335654|1,242118|2,073121|7,276110|1,337137|1,104026|2,073121
macd|0|1,095034|4,217017|1,429413|1,678469|3,079475|6,585874|1,365964|1,646078|3,079475
macd|1|0,863842|2,987397|1,349861|1,551476|2,778796|6,744858|1,231523|1,637867|2,778796
macd|2|0,835219|3,116935|1,364208|1,567059|2,833175|6,798469|1,199134|1,738920|2,833175
macd|3|0,809932|3,093338|1,343049|1,547525|2,826177|6,695110|1,253759|1,608824|2,826177
macd|4|0,767925|2,882346|1,399197|1,620251|2,764360|6,843320|1,212924|1,757456|2,764360
macd|5|0,821314|2,928155|1,382488|1,589201|2,742345|6,856454|1,208721|1,692602|2,742345
macd|6|0,776596|2,972166|1,385562|1,606171|2,816167|6,810346|1,198856|1,769334|2,816167
macd|7|0,784644|3,069836|1,330952|1,493654|2,738948|6,909490|1,163521|1,679011|2,738948
macd|8|0,841932|3,641019|1,446746|1,701638|2,964931|6,753805|1,239078|1,750801|2,964931
macd|9|0,778264|2,896450|1,385625|1,606313|2,923669|6,696718|1,271217|1,618623|2,923669
macd|10|0,850977|3,876422|1,339551|1,508693|2,771571|6,907047|1,166274|1,660277|2,771571
macd|11|0,771862|2,975239|1,365686|1,564705|2,753897|6,846104|1,194590|1,715185|2,753897
macd|12|0,907324|3,351288|1,341681|1,540828|2,877862|6,638404|1,295665|1,580838|2,877862
macd|13|0,819334|3,114847|1,390662|1,618329|2,783226|6,766579|1,239014|1,727166|2,783226
macd|14|0,752487|2,860939|1,408219|1,647475|2,834123|6,771820|1,225308|1,770040|2,834123
macd|15|0,887373|3,653990|1,416188|1,636925|2,851799|6,957544|1,152680|1,816033|2,851799
macd|16|0,873697|3,504504|1,410445|1,635188|2,792468|6,891444|1,188504|1,802296|2,792468
macd|17|0,846524|3,076711|1,401543|1,632430|2,923072|6,721360|1,249455|1,732064|2,923072
macd|18|0,752483|2,704030|1,399308|1,636824|2,865528|6,743534|1,233920|1,761757|2,865528
macd|19|0,736460|2,797975|1,318023|1,483363|2,751813|6,813668|1,196265|1,623427|2,751813
macd|20|0,765139|2,898866|1,458562|1,696536|3,040134|6,660582|1,316635|1,788882|3,040134
macd|21|0,762450|3,071711|1,593821|1,844432|3,338484|6,576704|1,458420|1,848484|3,338484
macd|22|0,873262|3,625672|1,444104|1,708142|3,072318|6,633851|1,301464|1,768880|3,072318
macd|23|0,817884|3,134517|1,414106|1,657725|2,870566|6,776668|1,214997|1,790910|2,870566
macd|24|0,774613|3,300730|1,366344|1,531218|2,766286|6,903317|1,190188|1,588269|2,766286
macd|25|0,904430|3,877656|1,355347|1,586640|2,986733|6,548889|1,341536|1,581067|2,986733
macd|26|0,787983|3,367090|1,460018|1,627098|2,941912|6,784487|1,297698|1,766681|2,941912
macd|27|0,854744|3,846903|1,368304|1,574463|2,852819|6,798354|1,203482|1,705441|2,852819
macd|28|0,779822|3,447645|1,618030|1,889598|3,376844|6,558229|1,494320|1,731825|3,376844
macd|29|0,737629|3,023449|1,443337|1,672589|3,020617|6,654453|1,321176|1,746339|3,020617
oscil|0|1,040701|3,605619|1,479298|1,791737|2,687738|6,125009|3,056573|1,898188|2,687738
oscil|1|0,914034|3,670847|1,331471|1,530400|2,728052|6,536967|1,377407|1,530923|2,728052
oscil|2|0,953584|3,621669|1,312867|1,434911|2,658233|6,592438|1,178636|1,391175|2,658233
oscil|3|1,081195|4,308232|1,365796|1,546563|2,827500|6,622780|1,532835|1,515732|2,827500
oscil|4|1,113163|4,178915|1,400878|1,527557|1,871945|6,707309|1,228416|1,478367|1,871945
oscil|5|0,991613|3,657221|1,372189|1,450879|2,332314|6,419753|1,364341|1,166536|2,332314
oscil|6|1,054673|3,829500|1,166141|1,224869|1,860404|7,102929|1,672993|1,227229|1,860404
oscil|7|0,960887|3,613737|1,253052|1,264129|1,839042|4,864223|1,151349|1,079558|1,839042
oscil|8|1,011316|4,658136|1,193740|1,312908|1,976667|7,033748|1,302290|1,245193|1,976667
oscil|9|1,161105|4,263616|1,269823|1,301719|1,862345|6,629070|1,344531|1,227879|1,862345
oscil|10|1,099697|4,098588|1,312303|1,489283|2,740244|16,258998|1,280170|1,471095|2,740244
oscil|11|1,016675|4,789075|1,251887|1,124726|1,513364|4,807410|1,581805|0,983048|1,513364
oscil|12|1,038184|4,524380|1,503014|1,727531|2,612171|5,047853|1,366943|1,422748|2,612171
oscil|13|1,203318|4,877871|1,218772|1,180291|2,013167|6,812485|1,347543|1,153831|2,013167
oscil|14|0,924864|3,240043|1,297487|1,407169|2,435630|17,743010|1,238277|1,429956|2,435630
oscil|15|1,131479|4,396074|1,463195|1,756127|2,358660|6,736244|1,832151|3,055996|2,358660
oscil|16|0,848041|3,776294|1,502455|1,737749|2,534821|5,171716|1,570942|3,262921|2,534821
oscil|17|1,147711|6,073823|1,455730|1,629152|2,374054|6,630619|1,807834|2,472613|2,374054
oscil|18|1,263218|3,833529|1,411767|1,581221|2,270590|7,849661|1,600488|2,098540|2,270590
oscil|19|1,153098|3,795784|1,366163|1,575343|2,736795|7,212921|1,354365|1,800883|2,736795
oscil|20|0,959181|4,157996|1,453383|1,571009|2,647377|6,577764|1,505001|1,715756|2,647377
oscil|21|0,965999|4,404951|1,292373|1,377028|2,155218|7,080938|1,227998|1,394535|2,155218
oscil|22|0,933598|3,930038|1,395208|1,613788|2,475405|7,184777|1,274527|1,662098|2,475405
oscil|23|0,868852|4,722506|1,292426|1,253069|1,432131|7,995462|1,371525|1,122841|1,432131
oscil|24|1,163401|4,815478|1,295807|1,442830|2,568429|13,053458|1,250584|1,463241|2,568429
oscil|25|0,906516|3,914114|1,314568|1,330081|2,163092|18,344678|1,345630|1,409219|2,163092
oscil|26|1,294639|4,598823|1,817033|2,137092|3,648843|16,429588|1,607940|2,195531|3,648843
oscil|27|0,899903|3,803135|1,269492|1,236040|2,156388|14,472311|1,274037|1,183098|2,156388
oscil|28|0,942044|4,117072|1,347591|1,497171|2,746245|6,665320|1,286432|1,461941|2,746245
oscil|29|0,914385|3,480156|1,353917|1,535886|2,690194|8,255071|1,229807|1,518790|2,690194
