window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|1,156677|4,004553|1,260342|1,380642|2,398963|6,692703|1,265692|1,476040|2,398963
2|2|0,842185|2,708111|1,331870|1,447707|1,922074|6,779921|1,254396|1,631512|1,922074
2|3|0,875432|3,471171|1,315633|1,455484|2,161268|6,645194|1,305949|1,658563|2,161268
2|4|0,810411|2,317260|1,382483|1,521362|1,769131|6,778740|1,262197|1,852324|1,769131
2|5|0,893628|3,621205|1,287631|1,428713|2,359230|6,634263|1,300862|1,580596|2,359230
2|6|0,854621|3,216860|1,289610|1,423019|2,240457|6,657436|1,289598|1,613453|2,240457
2|7|1,116212|4,959550|1,261059|1,391423|2,564296|6,680604|1,268902|1,434673|2,564296
2|8|0,970905|4,419574|1,302989|1,455964|2,439364|6,599956|1,325520|1,589878|2,439364
2|9|0,982725|4,344924|1,295427|1,450919|2,502032|6,606399|1,315975|1,566148|2,502032
2|10|1,015570|4,744392|1,308273|1,472285|2,568260|6,588264|1,330120|1,569729|2,568260
2|11|0,823733|2,898637|1,297073|1,439039|2,297227|6,633003|1,304854|1,612361|2,297227
2|12|0,929405|3,568664|1,290531|1,437928|2,411185|6,620771|1,307742|1,580392|2,411185
2|13|1,589737|6,697625|1,315355|1,490135|2,799548|6,602684|1,317151|1,491491|2,799548
2|14|1,049546|5,136943|1,307944|1,473196|2,598808|6,585875|1,331103|1,561101|2,598808
2|15|1,139512|6,061505|1,300560|1,465513|2,691664|6,607343|1,313476|1,506385|2,691664
2|16|1,009232|4,741817|1,286193|1,438850|2,537604|6,619101|1,305083|1,534970|2,537604
2|17|1,330651|6,345457|1,306956|1,479035|2,787688|6,614713|1,306857|1,479066|2,787688
2|18|1,071332|4,762911|1,286223|1,432999|2,513443|6,627456|1,303777|1,525561|2,513443
2|19|1,596020|6,190813|1,285002|1,440317|2,731887|6,648710|1,285189|1,441433|2,731887
2|20|1,019586|4,676059|1,257482|1,382702|2,458846|6,684140|1,266623|1,466734|2,458846
3|1|1,612155|5,857579|1,257384|1,379401|2,555355|6,706746|1,258220|1,404815|2,555355
3|2|0,841115|2,373127|1,307463|1,433704|2,044594|6,731508|1,258454|1,684865|2,044594
3|3|1,019604|3,685102|1,238648|1,334392|2,418100|6,714166|1,253894|1,428460|2,418100
3|4|0,897385|2,603911|1,366993|1,528056|2,061767|6,704645|1,283574|1,750365|2,061767
3|5|1,035104|4,259489|1,284472|1,427840|2,462460|6,631623|1,300580|1,542730|2,462460
3|6|0,903931|3,167288|1,321675|1,455673|2,106175|6,669435|1,294378|1,674433|2,106175
