WIG20,5,20140430,090500,2453.3,2453.3,2448.47,2448.79,85979,0
WIG20,5,20140430,091000,2447.77,2450.19,2446.71,2450.1,54580,0
WIG20,5,20140430,091500,2449.58,2451.04,2448.7,2451.04,57589,0
WIG20,5,20140430,092000,2451.28,2451.28,2449.66,2449.7,142214,0
WIG20,5,20140430,092500,2449.7,2452.02,2449.7,2451.77,46977,0
WIG20,5,20140430,093000,2451.77,2451.9,2449.99,2451.24,135846,0
WIG20,5,20140430,093500,2450.93,2452.39,2450.93,2452.28,49443,0
WIG20,5,20140430,094000,2452.41,2453.97,2451.86,2453.85,262751,0
WIG20,5,20140430,094500,2454.32,2454.75,2453.78,2453.79,333686,0
WIG20,5,20140430,095000,2453.7,2457.1,2453.7,2457.1,325544,0
WIG20,5,20140430,095500,2457.1,2457.1,2455.35,2455.89,95674,0
WIG20,5,20140430,100000,2455.53,2455.93,2454.91,2455.9,79998,0
WIG20,5,20140430,100500,2455.45,2455.5,2454.08,2454.53,85778,0
WIG20,5,20140430,101000,2454.53,2455.32,2454.53,2454.77,62647,0
WIG20,5,20140430,101500,2454.75,2455.97,2454.75,2455.97,119432,0
WIG20,5,20140430,102000,2455.95,2456.53,2455.47,2456.53,68229,0
WIG20,5,20140430,102500,2456.71,2456.71,2455.47,2455.81,84994,0
WIG20,5,20140430,103000,2456.03,2456.37,2454.25,2455.63,474296,0
WIG20,5,20140430,103500,2454.87,2454.98,2454.05,2454.33,443024,0
WIG20,5,20140430,104000,2454.2,2454.52,2453.58,2454.5,65493,0
WIG20,5,20140430,104500,2454.59,2454.59,2453.07,2453.74,429940,0
WIG20,5,20140430,105000,2454.38,2455.29,2454.38,2455.29,101090,0
WIG20,5,20140430,105500,2455.36,2455.45,2454.52,2454.97,80527,0
WIG20,5,20140430,110000,2454.83,2455.23,2454.31,2454.41,31108,0
WIG20,5,20140430,110500,2454.41,2454.77,2452.81,2453.42,137171,0
WIG20,5,20140430,111000,2453.51,2454.17,2453.45,2454.1,127649,0
WIG20,5,20140430,111500,2454.1,2454.44,2453.71,2454.4,58097,0
WIG20,5,20140430,112000,2454.47,2454.95,2453.77,2453.77,109226,0
WIG20,5,20140430,112500,2453.71,2454.64,2453.68,2453.74,85386,0
WIG20,5,20140430,113000,2453.71,2454.09,2452.98,2452.98,77605,0
WIG20,5,20140430,113500,2452.98,2453.9,2452.81,2453.9,100335,0
WIG20,5,20140430,114000,2453.64,2454.11,2453.59,2454,67809,0
WIG20,5,20140430,114500,2453.83,2453.83,2452.6,2452.7,50925,0
WIG20,5,20140430,115000,2452.79,2453.22,2452.64,2453.1,92653,0
WIG20,5,20140430,115500,2453.13,2453.13,2451.81,2452.74,75041,0
WIG20,5,20140430,120000,2452.7,2452.7,2451.84,2451.84,13022,0
WIG20,5,20140430,120500,2451.81,2451.81,2451.17,2451.32,46076,0
WIG20,5,20140430,121000,2451.23,2451.9,2450.93,2451.9,106823,0
WIG20,5,20140430,121500,2452.14,2452.55,2451.63,2452.55,56246,0
WIG20,5,20140430,122000,2452.38,2453.32,2452.38,2453.3,44509,0
WIG20,5,20140430,122500,2452.76,2452.89,2451.77,2451.77,35627,0
WIG20,5,20140430,123000,2451.77,2452.17,2451.55,2451.8,32276,0
WIG20,5,20140430,123500,2452.31,2452.31,2451.42,2451.51,117535,0
WIG20,5,20140430,124000,2451.53,2452.14,2451.04,2452.14,65663,0
WIG20,5,20140430,124500,2451.96,2452.21,2451.76,2452.14,103274,0
WIG20,5,20140430,125000,2451.91,2451.91,2451.48,2451.68,109179,0
WIG20,5,20140430,125500,2451.68,2452.69,2451.68,2452.48,137315,0
WIG20,5,20140430,130000,2452.81,2452.99,2452.62,2452.98,106287,0
WIG20,5,20140430,130500,2452.98,2453.17,2452.15,2452.57,136063,0
WIG20,5,20140430,131000,2452.57,2453.02,2452.33,2452.5,72616,0
WIG20,5,20140430,131500,2453.04,2453.47,2452.65,2453.02,75023,0
WIG20,5,20140430,132000,2452.8,2454.64,2452.42,2454.63,73167,0
WIG20,5,20140430,132500,2454.63,2454.64,2453.2,2453.31,112294,0
WIG20,5,20140430,133000,2453.22,2455,2453.19,2454.92,94035,0
WIG20,5,20140430,133500,2455.31,2455.31,2453.16,2453.41,126635,0
WIG20,5,20140430,134000,2453.68,2454.7,2453.68,2453.94,102991,0
WIG20,5,20140430,134500,2453.86,2453.9,2452.37,2452.37,324799,0
WIG20,5,20140430,135000,2451.93,2453,2451.93,2453,100511,0
WIG20,5,20140430,135500,2453,2453,2452.37,2452.73,176258,0
WIG20,5,20140430,140000,2452.9,2453.37,2452.64,2452.99,188193,0
WIG20,5,20140430,140500,2453,2453.98,2452.83,2453.98,72860,0
WIG20,5,20140430,141000,2454,2454,2452.73,2452.82,66645,0
WIG20,5,20140430,141500,2452.82,2453.81,2452.69,2453.33,69787,0
WIG20,5,20140430,142000,2453.41,2453.91,2452.71,2453.83,79602,0
WIG20,5,20140430,142500,2453.83,2454.38,2453.44,2453.7,202928,0
WIG20,5,20140430,143000,2453.62,2454.49,2452.83,2454.49,111235,0
WIG20,5,20140430,143500,2454.49,2454.49,2450.7,2451.01,198802,0
WIG20,5,20140430,144000,2450.91,2451.27,2448.9,2451.17,191141,0
WIG20,5,20140430,144500,2451.17,2451.58,2450.95,2451.22,81536,0
WIG20,5,20140430,145000,2451.12,2452.02,2450.62,2451.86,43843,0
WIG20,5,20140430,145500,2451.39,2451.39,2450.04,2451.1,114417,0
WIG20,5,20140430,150000,2451,2451.23,2450.13,2450.87,81512,0
