rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0|0|2.0|163,475785|41,356197|33,177320|33,442618|28,713438|69,193623|52,134227|46,052785|28,713438
0,05|0|2.0|1,016723|4,055979|2,248875|2,854012|3,954006|22,500461|6,315802|5,209037|3,954006
0,1|0|2.0|0,725685|8,057455|10,230803|10,778009|13,095899|23,600340|15,954641|13,434835|13,095899
0,15|0|2.0|0,942726|9,277080|11,680960|12,188605|14,659430|26,499663|18,086143|14,101227|14,659430
0,2|0|2.0|0,798550|7,977772|6,954235|7,839380|8,796748|25,025958|21,885434|14,793467|8,796748
0,25|0|2.0|0,879293|9,695396|10,613549|11,367175|13,272486|24,324199|23,268458|16,491311|13,272486
0,3|0|2.0|1,089434|13,042893|14,708273|15,383605|18,156755|22,579766|18,267441|18,785604|18,156755
0,35|0|2.0|1,233942|18,301814|24,046597|24,812074|26,118937|22,735064|29,896259|28,544023|26,118937
0,4|0|2.0|0,912896|16,174891|19,529486|20,175895|22,384175|19,613027|27,055853|22,649607|22,384175
0,45|0|2.0|0,946872|13,082017|11,936058|12,769843|14,986640|20,824154|24,151606|16,672992|14,986640
0,5|0|2.0|1,192858|12,986543|16,376236|16,913570|19,091792|26,139661|26,851075|20,640603|19,091792
0,55|0|2.0|1,155201|15,404824|17,606256|18,234715|20,835351|22,057725|26,503569|21,535258|20,835351
0,6|0|2.0|0,997233|14,989865|17,384226|18,017452|20,772041|21,759585|22,136588|17,749911|20,772041
0,65|0|2.0|1,099627|15,348309|19,136122|19,774844|22,019832|20,146677|27,486853|23,542571|22,019832
0,7|0|2.0|1,008307|13,237063|13,452525|14,267743|16,429204|23,262006|25,286250|18,894055|16,429204
0,75|0|2.0|1,118039|16,882714|23,315960|23,885131|25,779840|19,802097|28,280021|25,754012|25,779840
0,8|0|2.0|1,149482|14,865978|16,981255|17,700990|19,886814|21,197944|27,198830|22,301257|19,886814
0,85|0|2.0|1,090444|18,148499|24,448145|25,031214|26,961700|20,360780|28,551088|26,252233|26,961700
0,9|0|2.0|0,925301|12,556774|12,048644|13,017890|14,625205|22,896547|26,497892|20,490882|14,625205
0,95|0|2.0|1,047371|15,145195|18,597860|19,236324|21,224971|19,330822|25,928725|21,681798|21,224971
1|0|2.0|1,026240|14,470112|14,767482|15,535103|17,867251|22,417461|25,494276|18,202186|17,867251
1,05|0|2.0|1,191465|16,062331|19,131118|19,884194|21,709962|24,875620|27,999770|24,555828|21,709962
1,1|0|2.0|0,837597|14,208010|14,445707|15,370631|17,162730|22,908970|26,889301|22,219525|17,162730
1,15|0|2.0|1,315592|13,012429|13,174605|14,290238|14,774509|22,162567|27,218856|24,679023|14,774509
1,2|0|2.0|2,243370|15,282815|15,974987|17,500838|16,771583|21,393495|29,703272|29,172835|16,771583
1,25|0|2.0|1,120678|10,457706|10,400022|11,254925|13,008352|24,005571|24,478333|17,850029|13,008352
1,3|0|2.0|1,112933|15,827850|19,470745|20,295000|22,052732|23,395856|28,666373|23,503623|22,052732
1,35|0|2.0|0,868141|14,285427|16,667737|17,391340|19,532627|20,012756|26,248211|22,166919|19,532627
1,4|0|2.0|0,961833|16,069029|18,807118|19,491405|21,852760|21,041993|27,337860|23,147411|21,852760
1,45|0|2.0|0,950654|19,266512|26,542252|27,049118|28,956061|20,764801|28,660459|27,200286|28,956061
1,5|0|2.0|0,996589|14,924463|17,694355|18,516025|20,201662|20,203054|27,122617|24,128849|20,201662
1,55|0|2.0|1,010486|10,545611|12,434190|13,171445|14,793098|21,206721|24,334998|18,791163|14,793098
1,6|0|2.0|1,119562|15,587645|18,164533|18,967698|20,997138|24,011868|28,122589|22,832300|20,997138
1,65|0|2.0|0,902859|16,331334|21,364971|21,954010|24,101750|18,453356|27,220019|24,457133|24,101750
1,7|0|2.0|1,224837|12,369067|14,144438|14,916407|16,442753|24,684558|26,216869|20,594681|16,442753
1,75|0|2.0|1,061532|9,072332|4,382630|5,414213|6,450685|22,354811|20,583178|13,347466|6,450685
1,8|0|2.0|0,910457|15,914763|19,760240|20,397063|22,643008|19,157651|27,157808|23,799439|22,643008
1,85|0|2.0|0,890262|13,273868|10,848404|11,992923|13,000492|21,709009|24,700973|18,878117|13,000492
1,9|0|2.0|1,254551|15,396655|16,337782|17,017701|19,529121|23,608234|27,228967|20,688049|19,529121
1,95|0|2.0|1,005072|9,862695|9,038874|10,056459|11,359836|24,097927|24,901071|19,580047|11,359836
2|0|2.0|0,849114|15,240844|18,857263|19,538757|21,664803|19,866852|27,263907|23,776851|21,664803
2,05|0|2.0|0,990555|17,206662|20,610837|21,244071|23,723369|21,906940|27,950485|23,243236|23,723369
