indicators|argument|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
sma|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
sma|1|0,936825|15,047586|16,314374|17,663112|18,553753|22,563752|24,314911|20,157339|18,553753
sma|2|0,916881|8,304703|6,494446|7,464227|7,559734|22,917737|23,086270|17,210545|7,559734
sma|3|0,936735|12,573401|13,668750|14,752630|14,865927|22,838666|25,684135|21,344925|14,865927
sma|4|0,863493|9,766895|6,000092|7,135206|7,463455|22,452474|18,696400|12,592748|7,463455
sma|5|0,947861|13,032369|11,942153|13,468275|14,072074|22,753027|23,704707|18,898745|14,072074
sma|6|1,504743|17,191433|21,032731|22,190391|23,534767|22,665101|28,380882|26,429785|23,534767
sma|7|0,976682|10,857023|5,877254|7,326218|8,575770|22,967987|16,786387|12,094336|8,575770
sma|8|0,920051|10,808325|7,427323|8,835840|9,250575|22,513524|18,521685|13,392286|9,250575
sma|9|0,830264|14,158137|16,411703|17,629517|18,787170|22,435097|24,950983|21,200677|18,787170
sma|10|0,911712|9,458142|2,501742|3,307475|4,777635|22,871286|5,138165|4,996054|4,777635
sma|11|1,162250|9,202348|3,177926|4,124300|4,756704|22,659610|6,382450|5,623102|4,756704
sma|12|0,836702|11,353270|7,984132|8,884072|10,632884|22,770192|21,454805|15,211669|10,632884
sma|13|0,947104|11,995695|7,569859|8,473910|9,541152|22,704270|17,034568|11,644996|9,541152
sma|14|0,897985|11,072585|4,439476|4,965635|6,246515|23,089699|11,136080|6,976796|6,246515
sma|15|0,868778|11,130369|8,403839|8,949087|10,325497|23,002428|20,984339|14,979796|10,325497
sma|16|0,944746|18,277398|22,906196|23,036267|24,549641|22,399721|29,082680|26,585548|24,549641
sma|17|0,834522|9,458133|4,562583|5,259336|6,279517|22,919499|13,690411|8,591253|6,279517
sma|18|1,127391|16,043077|15,867318|15,891597|17,054622|22,543058|27,376003|22,967379|17,054622
sma|19|1,196374|14,323028|13,511620|14,232791|14,479894|22,847069|22,240287|17,263434|14,479894
sma|20|0,868445|14,030322|12,742517|12,882513|13,523365|22,862503|22,142039|16,314515|13,523365
sma|21|1,003476|19,373583|25,129509|25,349308|26,446045|23,003095|26,905702|24,417041|26,446045
sma|22|0,981945|12,664531|10,547641|10,846678|11,485833|23,191542|19,180255|13,827783|11,485833
sma|23|0,941796|14,997006|16,415732|16,430282|17,427328|22,894137|22,450260|18,858694|17,427328
sma|24|0,927914|10,625914|6,930483|7,816176|8,487174|22,852444|18,751008|12,526946|8,487174
sma|25|1,046883|12,230784|9,232804|9,677904|10,824598|22,682902|16,391778|12,533046|10,824598
sma|26|1,376285|11,438897|6,547594|7,356539|7,785171|22,864988|18,693780|11,805675|7,785171
sma|27|1,053039|14,170014|15,264804|15,607858|16,613053|22,862044|22,514947|19,041625|16,613053
sma|28|0,940069|22,897064|31,521762|31,359176|33,001210|22,854489|25,078303|22,446291|33,001210
sma|29|0,922496|18,117284|20,073270|20,014485|20,687646|22,739821|22,164000|18,516781|20,687646
wma|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
wma|1|0,946868|16,068106|18,657237|19,990229|20,752564|22,737107|25,889028|22,275641|20,752564
