window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
5|5|1,180864|18,892022|24,260694|25,249006|26,639942|22,867172|32,454288|33,256876|26,639942
5|6|1,016115|19,275448|24,447059|25,753023|28,294938|22,940543|28,779966|26,777050|28,294938
5|7|1,252310|21,086084|28,395128|29,395123|31,541080|22,781879|30,480686|30,018505|31,541080
5|8|1,057852|12,604727|11,213418|12,874511|15,105772|22,570455|25,493663|20,320676|15,105772
5|9|1,044665|16,846519|18,396429|20,295383|23,714664|23,078544|25,077617|20,674556|23,714664
5|10|0,964869|14,192429|15,226854|16,606112|18,182861|22,660583|28,646442|26,286603|18,182861
5|11|0,908455|15,488825|17,460318|18,988276|21,344116|22,473151|27,074361|23,762449|21,344116
5|12|0,949530|16,505568|18,804483|20,322326|22,673669|22,522706|27,140031|24,412755|22,673669
5|13|0,942967|17,242975|20,948327|22,369889|24,648018|22,268984|27,207448|24,374297|24,648018
5|14|1,130854|18,263066|23,094802|24,293568|26,296754|22,399652|28,716030|27,106420|26,296754
5|15|1,900726|21,693851|30,305674|30,980614|32,791988|22,446206|31,287846|31,372246|32,791988
5|16|1,239446|18,261887|22,187892|23,780156|26,342243|22,391483|27,370850|25,010089|26,342243
5|17|1,310312|19,849404|26,492549|27,451523|29,214291|22,289989|30,095393|29,557539|29,214291
5|18|1,739740|16,551502|19,087139|20,684678|23,379465|22,274146|25,708393|22,160655|23,379465
5|19|0,913075|16,926410|20,743891|22,015177|24,009284|22,483437|30,508316|29,809148|24,009284
5|20|1,102215|15,719421|18,679097|19,919530|21,711503|21,911456|27,810205|25,930201|21,711503
6|1|1,683523|13,064473|9,790645|11,795621|14,373298|23,507762|20,340737|15,946520|14,373298
6|2|1,044836|9,166900|6,088129|7,098645|8,644301|23,118684|19,953977|13,262493|8,644301
6|3|0,968345|13,502646|12,252129|13,885169|15,579285|23,096875|24,648218|20,696291|15,579285
6|4|0,916509|15,840142|15,418655|17,619754|20,531797|22,973179|23,485971|18,376343|20,531797
6|5|1,040303|18,348602|21,949759|23,590816|26,002199|23,022071|28,957602|27,634012|26,002199
6|6|1,071056|20,269971|26,350480|27,619652|29,818545|22,963508|29,001333|27,537251|29,818545
6|7|1,072211|18,370770|21,835803|23,565026|26,166783|22,798221|28,082130|25,837769|26,166783
6|8|1,043459|18,583008|22,858882|24,418416|26,881263|22,813685|27,368121|24,999684|26,881263
6|9|0,971850|17,794872|20,012897|21,912489|24,486448|22,933178|26,742366|24,223101|24,486448
6|10|1,153013|14,447389|10,222607|12,605310|15,629878|23,032058|17,552463|13,463556|15,629878
6|11|1,165587|13,223925|8,899230|11,212407|15,193479|22,645053|12,113064|10,017041|15,193479
6|12|1,254895|20,806685|27,068694|28,546876|30,820155|23,029256|27,365507|24,495942|30,820155
6|13|1,014289|15,330435|15,073609|17,152558|19,586541|22,514553|25,364393|21,472833|19,586541
6|14|0,872620|16,593457|18,852468|20,508220|22,836449|22,489427|29,321757|27,709544|22,836449
6|15|1,076367|12,868609|9,110667|11,318325|14,350957|22,463009|14,151472|10,643841|14,350957
6|16|0,929560|19,915877|26,533610|27,608402|29,532412|22,329707|29,824279|28,541112|29,532412
6|17|1,080905|14,982201|16,075935|17,895398|20,258465|22,157861|25,691639|22,060818|20,258465
6|18|0,967520|8,915926|5,861070|7,407291|9,931994|21,888498|10,739131|8,610070|9,931994
6|19|1,234561|14,489343|15,561974|17,434006|19,857960|22,326118|25,162994|20,041629|19,857960
6|20|0,869292|17,778360|21,435129|23,149537|25,476147|22,175715|25,700436|22,753561|25,476147
7|1|9,771327|21,285426|30,670262|31,195591|32,894776|21,303327|26,421286|23,418517|32,894776
7|2|1,529890|14,309645|14,653350|16,080902|17,108879|22,750752|28,003318|25,252231|17,108879
7|3|0,934346|12,618288|10,180682|12,124402|14,312896|22,317946|20,310671|14,965635|14,312896
7|4|0,920124|14,336494|13,111896|15,154235|17,191996|22,715830|25,271757|22,611201|17,191996
7|5|1,082839|10,094248|7,537863|9,124229|10,905649|22,051171|15,620941|11,592848|10,905649
7|6|1,052737|18,781782|21,745159|23,686382|25,889446|22,924213|28,249384|27,277830|25,889446
7|7|1,138885|19,011228|23,096828|24,862483|26,910692|22,939967|25,246769|21,904281|26,910692
7|8|0,937184|15,171795|13,904035|16,321294|19,107311|22,723271|20,984061|17,103537|19,107311
7|9|1,132816|18,640891|21,703365|23,782422|26,236777|22,481289|26,304648|23,376423|26,236777
7|10|1,045248|16,353852|13,681129|16,832002|19,711056|22,745519|12,961477|12,650669|19,711056
7|11|1,074636|20,852249|28,194400|29,143620|30,959245|22,593225|30,748210|30,155553|30,959245
7|12|1,072513|17,981947|20,475902|22,637456|24,780733|22,442219|24,799503|21,821892|24,780733
7|13|1,078396|13,596329|11,105745|13,385263|15,440746|22,541693|19,464016|15,835500|15,440746
7|14|1,206710|17,131870|15,299649|18,174031|20,779503|22,746531|18,578309|14,347863|20,779503
7|15|1,257967|15,016457|16,980638|18,435490|19,534643|22,242018|26,811926|24,810424|19,534643
7|16|0,921695|18,182753|22,406296|23,932227|26,103705|22,497575|26,697709|24,696617|26,103705
7|17|1,116922|16,451977|19,076787|20,894863|22,974900|22,200878|28,391475|25,614214|22,974900
7|18|1,265205|13,979207|12,869649|14,946149|16,619651|22,315647|25,242051|20,731173|16,619651
7|19|0,959835|16,137075|14,456774|16,972001|19,375442|22,909370|20,284720|16,365865|19,375442
7|20|1,193122|16,839257|22,538584|23,458649|24,914744|22,165169|31,657406|30,233643|24,914744
8|1|2,708386|8,288651|5,654080|3,997020|3,183089|22,205188|11,985671|7,690174|3,183089
8|2|1,628096|13,073498|5,756907|7,551728|9,457007|22,374986|13,249806|10,121803|9,457007
8|3|1,390882|13,271528|4,700368|2,076062|4,470634|23,104093|6,228478|1,978295|4,470634
8|4|0,855417|12,484210|8,307741|10,104875|12,372486|21,826133|16,054740|11,476240|12,372486
8|5|0,967916|15,591700|14,460182|16,624472|18,947286|22,256516|22,419775|20,248006|18,947286
8|6|1,028842|17,047282|18,443622|20,372479|21,629446|22,626822|26,962717|24,518016|21,629446
8|7|1,229807|21,446646|28,364588|29,614354|31,496731|22,833870|29,385730|28,939234|31,496731
8|8|1,237350|14,232806|10,217767|12,652909|14,648247|22,570067|18,690328|14,977931|14,648247
8|9|0,917692|18,221038|21,511179|23,029473|24,394548|22,828287|27,800681|27,278933|24,394548
8|10|1,010338|17,387981|18,158341|20,332303|22,421818|22,929517|22,429401|19,129577|22,421818
8|11|1,208753|20,789265|27,729815|28,778440|30,346054|22,555646|30,006413|30,007021|30,346054
