window|hide layer 1|hide layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|1|1,187299|15,157441|18,874527|19,663304|20,739903|22,594190|30,111896|29,000815|20,739903
2|1|2|1,190954|6,919041|5,785175|6,510917|6,687910|23,065888|26,617843|22,080604|6,687910
2|1|3|1,895814|22,164030|31,417156|31,938234|33,559988|22,724430|32,199766|32,657907|33,559988
2|1|4|1,142966|9,063190|8,686134|9,500433|10,274331|23,133498|27,574087|23,638671|10,274331
2|1|5|0,822279|15,243207|18,573464|19,338683|19,891429|22,838853|30,694843|29,904797|19,891429
2|1|6|0,823170|9,872454|9,635853|10,456165|10,789539|22,879422|28,428862|25,661328|10,789539
2|1|7|1,116890|9,257821|10,393155|11,132047|11,778790|22,833155|28,025328|24,784702|11,778790
2|1|8|1,049861|16,732810|19,633314|20,621953|21,531886|22,838127|30,652274|29,943879|21,531886
2|1|9|1,029891|9,319953|7,908152|8,756188|9,122689|23,021295|27,898252|24,597850|9,122689
2|1|10|1,144195|11,651861|12,343611|13,279956|14,758894|22,935976|28,008120|24,595463|14,758894
2|1|11|1,665574|11,591348|9,344673|10,443640|11,536437|22,990438|28,147298|25,140565|11,536437
2|1|12|1,061806|10,751457|9,523346|10,482883|11,221005|22,851661|28,059642|25,049699|11,221005
2|1|13|1,517161|9,307894|7,371663|8,280302|9,377682|22,862558|26,346614|21,582018|9,377682
2|1|14|1,265726|11,206572|10,965103|11,841347|12,725301|22,645782|28,420244|25,821076|12,725301
2|1|15|1,646931|9,329247|4,469159|5,257117|6,185354|22,706402|25,206212|19,935575|6,185354
2|1|16|1,172654|12,495065|13,028231|14,079596|15,493071|22,263001|27,957303|25,368944|15,493071
2|1|17|1,228654|13,210667|17,536374|18,275546|19,881712|22,083655|28,174614|25,748590|19,881712
2|1|18|1,307285|15,019603|16,716869|17,698516|18,743430|22,336827|29,615441|28,480915|18,743430
2|1|19|1,318213|14,499590|15,910050|17,011378|18,935315|22,470833|28,432985|26,109808|18,935315
2|1|20|1,970757|21,721653|30,198664|30,809759|32,515505|22,827873|32,010489|32,254416|32,515505
2|2|1|1,379957|7,860847|9,579665|10,276406|10,980091|22,113316|26,427169|22,615067|10,980091
2|2|2|0,769500|9,811734|12,627738|13,285415|14,182625|22,402882|28,221588|25,434805|14,182625
2|2|3|0,765154|6,341342|8,364537|9,008444|9,951004|22,503605|24,407999|19,291098|9,951004
2|2|4|1,103267|8,259421|9,961919|10,671023|11,565017|22,689402|26,524103|22,259281|11,565017
2|2|5|0,839037|8,621320|6,948958|7,744592|8,262766|23,225813|26,937890|22,448476|8,262766
2|2|6|0,785927|8,282122|9,238921|9,962822|11,090498|23,263651|26,584607|21,323391|11,090498
2|2|7|1,382124|7,455722|5,243924|6,068970|7,080820|23,028400|24,690502|18,180048|7,080820
2|2|8|0,949485|7,841259|6,048306|6,840311|7,976480|23,057152|24,850767|18,352748|7,976480
2|2|9|1,041773|8,208017|9,374787|10,092225|10,774538|22,634313|26,801451|22,768935|10,774538
2|2|10|0,873715|6,057137|3,367985|4,055840|5,013423|22,954687|19,969072|11,716497|5,013423
2|2|11|0,797430|8,230372|5,552137|6,365190|7,390696|22,837492|25,143035|19,231690|7,390696
2|2|12|1,153453|21,032869|29,159906|29,766491|31,310132|22,745581|31,870644|32,091825|31,310132
2|2|13|1,416029|9,890265|6,993573|7,912418|8,801559|22,780333|26,794326|22,729755|8,801559
2|2|14|1,143331|9,619352|6,835008|7,804854|8,761625|22,913517|26,546683|22,173612|8,761625
2|2|15|1,165002|21,799074|30,533580|31,100459|32,637204|22,621968|31,973464|32,365132|32,637204
2|2|16|0,945595|11,111288|11,920031|12,805045|13,973613|22,532542|27,654052|24,359061|13,973613
2|2|17|1,293579|7,875876|2,157294|2,742874|2,902258|22,286383|21,152958|14,992106|2,902258
2|2|18|1,154141|14,343179|16,082042|17,120496|18,683720|22,639707|29,077059|27,096184|18,683720
2|2|19|0,970441|12,942223|15,726699|16,547321|17,893310|22,189653|28,530629|26,364625|17,893310
2|2|20|1,205815|19,363819|26,808001|27,432501|29,053430|22,479468|31,008477|30,725115|29,053430
2|3|1|1,197146|9,718038|7,541704|8,555946|9,739665|23,060626|26,302395|21,456092|9,739665
2|3|2|0,901388|8,440289|9,064346|9,786424|10,919071|21,786583|26,187574|22,055435|10,919071
2|3|3|1,532951|7,087922|5,967478|6,632408|6,952385|23,273484|26,518156|21,360614|6,952385
2|3|4|0,785253|6,805879|4,897496|5,615666|6,394501|23,257386|24,518204|17,730925|6,394501
2|3|5|0,925349|9,021442|10,624782|11,341397|12,018754|22,458560|27,555253|24,262817|12,018754
2|3|6|1,033821|5,808187|5,477126|6,134602|6,373713|22,979997|25,881132|20,610588|6,373713
2|3|7|0,980873|8,695144|7,164822|7,959200|8,964131|23,142284|26,617206|21,625593|8,964131
2|3|8|0,942226|12,608020|14,666225|15,437691|15,940719|22,634136|29,733055|28,295060|15,940719
2|3|9|0,984609|8,349734|9,657447|10,341176|10,903206|22,844152|28,963292|26,550660|10,903206
2|3|10|0,877548|16,208227|19,556459|20,517411|22,154388|22,978862|30,067995|28,598723|22,154388
2|3|11|1,089786|20,467894|27,832748|28,503655|29,985997|22,704948|31,635104|31,712036|29,985997
2|3|12|0,907753|11,286043|9,260763|10,289939|11,565207|22,571471|27,332774|23,875531|11,565207
2|3|13|1,366081|11,537853|12,483041|13,267217|13,687185|22,835252|29,543478|27,775051|13,687185
2|3|14|1,225732|5,476947|5,835768|6,504329|7,360746|22,997852|23,514461|16,754266|7,360746
2|3|15|0,896819|10,207362|7,913016|8,862941|9,698449|22,909919|27,217740|23,337071|9,698449
2|3|16|0,944502|9,524057|11,530702|12,268363|13,198953|22,065688|27,207662|23,975311|13,198953
2|3|17|1,068286|18,047169|23,024842|23,919274|25,649758|22,719084|30,377387|29,446515|25,649758
2|3|18|0,886555|15,225904|16,300313|17,372375|18,170535|22,644475|29,942933|28,873826|18,170535
2|3|19|1,083114|12,721080|13,389381|14,452954|15,905114|22,306294|28,141140|25,650625|15,905114
2|3|20|1,012991|11,438346|9,166335|10,308249|11,624721|22,512632|27,202515|23,835095|11,624721
2|4|1|1,464204|21,380940|30,058986|30,631972|32,241268|22,297776|31,561080|31,901405|32,241268
2|4|2|0,806759|8,968152|5,817531|6,650570|7,078642|23,235273|26,993775|22,815118|7,078642
2|4|3|0,795476|12,974478|13,400344|14,401624|15,529538|23,038597|29,115644|26,786717|15,529538
2|4|4|0,832899|11,208090|11,578881|12,484472|13,578132|22,932259|28,389754|25,425648|13,578132
2|4|5|0,890353|15,212989|17,049388|18,126359|19,766861|23,077622|29,670628|27,758149|19,766861
2|4|6|0,746277|5,985920|5,929873|6,630303|7,452431|22,634333|23,852337|17,655387|7,452431
2|4|7|0,895256|9,147903|8,264581|9,070955|9,319743|22,971488|28,162036|25,107194|9,319743
2|4|8|0,890802|11,320556|14,382943|15,075515|15,900146|22,157536|28,730125|26,736597|15,900146
2|4|9|0,871757|17,257969|21,709541|22,528982|23,697509|23,014748|31,012730|30,321282|23,697509
2|4|10|0,872663|11,874991|11,822134|12,790859|13,760713|22,863912|28,510777|25,802348|13,760713
2|4|11|0,990529|14,489183|16,248619|17,226686|18,464569|22,946855|29,710629|27,992335|18,464569
2|4|12|0,838221|10,253046|10,684061|11,543577|12,430633|22,586044|27,523877|24,146307|12,430633
2|4|13|0,853418|8,544850|6,635865|7,425488|7,717453|22,682652|27,449862|24,166161|7,717453
2|4|14|0,956692|14,076202|17,250144|18,118595|19,546183|21,992917|28,782855|27,067326|19,546183
2|4|15|0,992264|9,229557|10,804081|11,583044|12,774282|22,516594|27,067029|23,117163|12,774282
2|4|16|1,062437|12,783367|14,404444|15,360053|16,919265|22,514991|28,244836|25,426619|16,919265
2|4|17|0,899915|13,964505|15,688202|16,655229|18,018533|22,823322|29,309689|27,415916|18,018533
2|4|18|0,926367|10,027355|11,496563|12,265212|13,126489|22,457345|27,991429|25,038038|13,126489
2|4|19|0,856374|9,738181|7,416801|8,384747|9,454592|22,938025|26,501893|21,937378|9,454592
2|4|20|0,923594|22,754320|32,025237|32,574917|34,223924|22,772532|32,295202|32,807752|34,223924
2|5|1|1,350747|16,495632|22,297406|23,013181|24,849654|23,285258|30,040764|28,106341|24,849654
2|5|2|0,851235|8,498760|5,843509|6,675721|7,424840|23,228188|26,219476|21,139497|7,424840
2|5|3|0,843160|7,006297|7,838700|8,501650|8,936102|22,618146|27,357737|23,617323|8,936102
2|5|4|0,941281|16,826159|20,195937|21,227666|23,281309|23,084462|29,977010|28,343164|23,281309
2|5|5|0,901345|9,618654|7,434643|8,343325|9,136500|23,170086|27,302056|23,287610|9,136500
2|5|6|1,011372|7,838957|8,170495|8,888776|9,597631|23,066305|27,060522|22,615451|9,597631
2|5|7|0,823183|9,656069|7,826472|8,687898|9,078473|22,868943|27,951988|24,910718|9,078473
2|5|8|0,900142|10,111851|6,861980|7,857539|8,714801|22,889722|26,816639|22,810943|8,714801
2|5|9|0,822219|7,682903|7,677403|8,428055|9,230285|22,447016|25,707525|20,909308|9,230285
2|5|10|0,936120|7,289967|3,347799|4,045661|4,667664|22,960674|23,278167|16,205291|4,667664
2|5|11|1,004812|22,918487|32,230606|32,776690|34,452109|23,088325|32,610425|33,093163|34,452109
2|5|12|0,874666|11,843110|11,919181|12,918970|14,119975|22,680524|28,332546|25,629180|14,119975
2|5|13|1,061938|5,871647|5,735401|6,420796|6,860617|22,681410|24,690440|18,990308|6,860617
2|5|14|0,754124|6,277648|5,176958|5,878946|6,539076|22,885224|24,727075|18,439865|6,539076
2|5|15|0,812678|7,835593|5,267305|6,053167|6,881728|22,956060|25,274857|19,580000|6,881728
2|5|16|1,045583|8,924786|8,845458|9,667890|10,507143|22,658354|27,105485|23,050237|10,507143
