window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|14,289063|21,268432|30,667965|31,184507|32,874194|21,268419|30,667935|31,184481|32,874194
2|2|1,633909|9,566379|9,726464|10,568903|11,639624|23,244260|27,500158|23,240525|11,639624
2|3|0,824825|9,844577|10,208620|11,035501|11,642872|22,691299|27,974173|24,919523|11,642872
2|4|1,059826|17,395438|22,316648|23,225406|25,186823|22,058569|29,258158|27,955572|25,186823
2|5|0,866334|11,046363|11,150181|12,081500|13,007856|22,665314|28,090528|25,177811|13,007856
2|6|1,096391|22,173647|31,120886|31,682696|33,348738|22,898121|32,238589|32,599881|33,348738
2|7|1,377554|6,184240|5,514401|6,260423|7,275608|23,310897|23,444492|16,300692|7,275608
2|8|1,310201|20,107969|26,738082|27,514706|29,195915|22,823850|31,351265|31,169442|29,195915
2|9|0,758118|12,102937|14,011845|14,785463|15,300160|22,766962|29,572142|27,845324|15,300160
2|10|0,917312|18,576036|24,995561|25,711353|27,295200|22,682752|30,941537|30,449971|27,295200
2|11|1,651346|21,944917|30,502694|31,119595|32,786624|22,767714|32,020479|32,354017|32,786624
2|12|0,853651|16,598403|21,274178|22,118447|23,890238|22,698494|29,908967|28,577673|23,890238
2|13|1,003030|14,742549|16,822464|17,854745|19,374225|22,485072|29,158531|27,414830|19,374225
2|14|1,792767|10,003078|12,504980|13,362925|14,974484|22,016272|25,637860|21,645458|14,974484
2|15|1,384671|19,993501|26,892397|27,633043|29,318900|22,526834|31,094186|30,942875|29,318900
2|16|1,188690|19,176945|25,148933|25,961630|27,649781|22,657360|30,881202|30,457261|27,649781
2|17|1,546737|19,824681|26,494887|27,260360|28,986830|22,539607|30,976119|30,739783|28,986830
2|18|1,132607|6,872768|8,491175|9,189171|9,808370|21,204183|25,620172|22,006169|9,808370
2|19|1,373963|18,452001|23,850995|24,700459|26,369480|22,536962|30,550115|29,964120|26,369480
2|20|2,066283|20,336490|27,743980|28,441968|30,254177|22,544074|31,015847|30,804776|30,254177
3|1|4,321868|20,049572|25,152179|26,180776|27,251269|22,923841|31,123094|30,677461|27,251269
3|2|0,843092|9,636653|9,802502|10,628407|11,549413|23,256281|25,239963|19,752251|11,549413
3|3|0,878083|5,859176|1,767436|2,236482|3,047723|23,142333|7,640653|5,764316|3,047723
3|4|1,017871|14,180354|14,153533|15,236743|16,119033|22,923882|27,571247|23,768711|16,119033
3|5|0,765002|12,095451|12,714202|13,593674|14,363039|22,922483|27,298696|23,044669|14,363039
3|6|0,950025|11,363586|11,428392|12,343583|13,132148|22,614427|26,751935|22,679570|13,132148
3|7|0,881759|15,053809|17,525159|18,433958|19,612605|22,808112|28,303646|25,151935|19,612605
3|8|1,275519|14,361444|11,592062|12,909913|13,514716|22,994543|27,590406|23,879542|13,514716
3|9|0,740345|10,058038|10,399428|11,219355|11,863823|22,649791|26,031211|21,414903|11,863823
3|10|1,074591|14,818915|15,386031|16,519596|17,798675|22,626745|27,834124|24,504443|17,798675
