indicators|argument|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
sma|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
sma|1|0,767704|9,695607|8,865186|9,886279|8,454543|22,965754|26,080445|20,992845|8,454543
sma|2|0,920926|15,954888|19,090466|20,377491|21,528999|22,679871|23,750542|20,206980|21,528999
sma|3|0,763952|7,838342|6,694555|7,616247|8,614810|23,038440|19,524041|13,492875|8,614810
sma|4|0,777734|7,598143|3,438350|4,260474|5,033400|23,193181|18,698249|11,439769|5,033400
sma|5|0,943152|14,294623|15,391795|16,681059|19,164581|22,706527|28,937361|27,417609|19,164581
sma|6|0,730911|6,402224|4,181675|5,124233|6,373626|23,002494|13,786303|9,268851|6,373626
sma|7|0,837771|10,221661|3,438004|4,620577|6,405337|23,061907|10,019119|8,140406|6,405337
sma|8|0,857552|12,495917|9,490439|11,253074|13,650451|22,790042|25,045964|21,588174|13,650451
sma|9|0,933813|14,623783|8,517089|10,280413|12,998010|22,710489|20,735111|16,700610|12,998010
sma|10|0,816110|11,286642|10,433944|11,535194|13,994338|22,785032|22,104747|18,218950|13,994338
sma|11|0,822847|13,045335|12,796402|13,570292|16,619628|22,341972|20,333854|17,372657|16,619628
sma|12|0,815486|12,788582|5,763320|6,314430|9,276360|21,999121|12,940667|8,510183|9,276360
sma|13|0,939175|15,448093|8,853508|8,073225|12,075298|22,751581|17,930705|9,556108|12,075298
sma|14|0,903293|16,558877|11,517416|9,772518|12,957479|22,834817|20,895233|12,841413|12,957479
sma|15|0,785330|10,439985|5,862506|6,520484|7,626871|22,761381|16,336945|10,544072|7,626871
sma|16|0,814529|9,147393|4,391768|4,861809|6,052756|22,876708|10,787206|7,360197|6,052756
sma|17|0,857884|15,468275|12,689710|11,575149|13,105833|22,676696|17,988647|12,717347|13,105833
sma|18|0,877938|17,940818|18,721393|17,394194|18,570213|22,600034|20,014921|14,767005|18,570213
sma|19|1,035964|15,322432|13,527162|11,804487|13,407151|23,063607|18,879362|15,162691|13,407151
sma|20|0,893192|16,321909|18,854577|18,319890|19,401994|22,643478|21,353085|17,449887|19,401994
sma|21|0,847868|12,721785|14,164816|13,324040|14,270467|22,929026|17,894626|13,899984|14,270467
sma|22|0,841552|11,450162|14,734079|14,296075|16,011519|23,161132|16,345876|16,866104|16,011519
sma|23|0,952478|19,685795|24,776025|24,386215|25,634342|22,787871|24,084498|23,372373|25,634342
