rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0|0|2.0|142,938186|7,443675|1,309766|1,467072|2,506264|15,709750|1,382752|2,028116|2,506264
0,05|0|2.0|0,626089|3,580327|2,401715|3,060011|4,359658|25,299551|7,537120|5,959691|4,359658
0,1|0|2.0|0,634492|3,844696|2,786460|3,492260|4,937952|24,479290|7,471011|5,741306|4,937952
0,15|0|2.0|0,716997|7,590815|8,068032|8,732102|11,021236|21,219301|13,855652|10,639073|11,021236
0,2|0|2.0|0,786842|10,857758|10,979338|11,813333|13,700555|21,634275|23,869619|16,872323|13,700555
0,25|0|2.0|0,744660|7,156973|5,864540|6,579924|8,512212|27,100037|12,236020|8,095848|8,512212
0,3|0|2.0|0,805292|10,994357|8,256079|9,138870|11,468464|23,551291|14,250715|12,278080|11,468464
0,35|0|2.0|0,777911|7,500151|7,671003|8,360454|10,291015|21,989024|16,026839|10,613246|10,291015
0,4|0|2.0|0,850481|15,209493|16,101860|16,832790|19,427768|22,747567|26,179824|21,326616|19,427768
0,45|0|2.0|0,828003|13,781160|8,390683|9,286591|11,573442|24,199736|22,439583|13,369907|11,573442
0,5|0|2.0|0,982708|15,922764|13,615503|14,677550|16,873286|22,689339|27,462088|20,425614|16,873286
0,55|0|2.0|0,947945|15,194718|11,488304|12,635949|15,185662|24,591273|26,870815|17,340237|15,185662
0,6|0|2.0|0,989354|19,013280|24,841012|25,461440|27,603585|22,780576|27,851244|21,784542|27,603585
0,65|0|2.0|0,871241|11,837719|10,585688|11,445112|13,600247|19,788351|23,077262|16,596558|13,600247
0,7|0|2.0|0,945266|14,158795|14,116794|15,203605|16,082267|24,683043|28,244160|24,539910|16,082267
0,75|0|2.0|0,949197|10,777870|10,293088|11,173469|12,779905|20,613298|23,843675|17,433365|12,779905
0,8|0|2.0|1,449512|18,514968|25,654403|26,141173|28,121149|23,873516|28,938544|27,034187|28,121149
0,85|0|2.0|1,016064|15,443484|16,583766|17,149705|19,828844|21,422437|27,613881|21,792839|19,828844
0,9|0|2.0|1,301144|16,550391|20,731542|21,590444|22,860522|23,916215|28,820706|25,746633|22,860522
0,95|0|2.0|2,540346|21,516649|30,629263|31,118296|32,937407|19,940099|30,637567|30,470046|32,937407
1|0|2.0|1,274966|13,347297|17,398419|18,125326|19,614006|19,445943|25,998165|22,819992|19,614006
1,05|0|2.0|1,056728|15,300650|17,469559|18,280393|20,180288|22,390897|27,513076|23,576527|20,180288
1,1|0|2.0|1,430205|19,456834|23,941595|24,518328|26,751662|24,735906|30,793067|27,540973|26,751662
1,15|0|2.0|1,503251|14,409841|13,954948|14,727750|17,120825|21,216294|25,539957|19,271715|17,120825
1,2|0|2.0|1,137084|18,592083|25,091000|25,770444|27,377998|24,937621|30,814663|29,755222|27,377998
1,25|0|2.0|1,339813|16,388984|21,362040|22,115173|23,472970|24,938307|28,596625|25,815090|23,472970
1,3|0|2.0|2,006917|17,509450|21,137024|21,991482|23,856325|22,439798|28,419841|25,840011|23,856325
1,35|0|2.0|1,324393|13,218696|9,560215|10,579855|12,272584|22,561140|21,160369|16,811441|12,272584
1,4|0|2.0|1,065443|14,250232|16,394739|17,184959|19,262707|22,669658|26,501491|22,628663|19,262707
1,45|0|2.0|1,733754|19,449706|25,867854|26,453466|28,024178|21,337012|28,532396|27,207534|28,024178
1,5|0|2.0|1,497809|15,726656|16,989908|17,774819|20,013953|22,079867|23,555380|17,658746|20,013953
1,55|0|2.0|1,415692|13,570195|15,127118|15,828215|17,806806|23,210346|25,941337|19,734011|17,806806
1,6|0|2.0|1,068130|13,958977|13,786889|14,626592|16,669539|21,252870|25,133288|19,254792|16,669539
1,65|0|2.0|1,492155|16,393786|22,401530|22,971780|24,828544|23,709662|28,524273|24,868205|24,828544
1,7|0|2.0|1,246382|14,897962|15,965381|16,822810|18,247757|21,707157|26,663045|21,951767|18,247757
1,75|0|2.0|0,866097|16,992585|21,850527|22,484616|24,777920|20,078552|28,058039|25,580636|24,777920
1,8|0|2.0|0,992024|19,575116|26,328825|26,984177|28,715494|24,407940|30,164205|29,208901|28,715494
1,85|0|2.0|0,902980|14,797207|18,250048|18,923892|21,193390|20,495806|24,495398|21,151650|21,193390
1,9|0|2.0|1,150199|12,075430|8,202678|9,096073|10,562540|22,185546|22,932414|13,591666|10,562540
1,95|0|2.0|1,577528|17,474739|24,203115|24,767628|26,587761|24,443970|29,835914|26,041271|26,587761
2|0|2.0|1,375087|17,620867|24,168472|24,729916|26,598543|25,238224|30,283003|29,861875|26,598543
2,05|0|2.0|1,363854|16,537078|19,150279|19,742054|22,037925|25,329068|28,758609|22,492681|22,037925
2,1|0|2.0|0,985015|14,811983|17,882290|18,629845|20,699499|23,364588|25,529281|19,725164|20,699499
2,15|0|2.0|0,943363|14,582290|15,834666|16,655225|18,476310|23,096502|26,731956|21,254072|18,476310
2,2|0|2.0|1,178579|16,307139|21,402701|22,057297|23,825315|22,577159|27,367155|23,862101|23,825315
2,25|0|2.0|0,872906|12,795812|11,826867|12,751641|14,122882|23,730395|26,106427|19,880231|14,122882
2,3|0|2.0|1,038435|13,458963|12,973328|13,735069|16,260477|19,915843|24,261545|17,299429|16,260477
2,35|0|2.0|1,013032|15,884406|18,057072|18,956894|20,767670|21,127901|27,318891|23,934827|20,767670
2,4|0|2.0|1,541693|13,632743|12,855784|13,859811|14,771581|24,690669|27,004387|22,918070|14,771581
2,45|0|2.0|1,371726|17,101486|15,243322|16,078974|18,771956|23,082703|26,041472|20,858129|18,771956
0,3|0|2.0|0,776894|13,833668|14,419768|15,122753|17,896475|23,084197|25,675800|19,516615|17,896475
0,3|0,05|2.0|0,806677|11,831561|13,887004|14,766577|16,288137|21,726966|25,524408|18,955349|16,288137
0,3|0,1|2.0|0,837645|11,743748|10,191079|11,000971|13,814335|22,110105|20,607327|14,272129|13,814335
0,3|0,15|2.0|0,784092|14,102418|16,206525|16,891449|19,287735|25,441136|25,892475|19,810959|19,287735
0,3|0,2|2.0|0,839197|11,085110|10,675056|11,459736|13,675384|22,227520|22,761339|16,459369|13,675384
0,3|0,25|2.0|0,880491|12,250348|12,358707|13,054956|15,674884|25,326561|18,033067|15,996176|15,674884
0,3|0,3|2.0|0,779127|10,877523|9,379187|10,098664|12,649827|24,957008|18,216400|12,931625|12,649827
0,3|0,35|2.0|0,790498|12,210580|12,985118|13,749900|15,967010|21,618701|24,065189|18,145430|15,967010
0,3|0,4|2.0|0,754711|11,753635|13,964802|14,618856|16,861750|21,237024|25,211605|19,072992|16,861750
0,3|0,45|2.0|0,751639|7,452256|7,440558|8,313265|9,765630|22,516187|21,105259|14,775549|9,765630
0,3|0,5|2.0|0,793082|11,463554|12,800943|13,448937|15,764275|27,361543|24,441134|17,965514|15,764275
0,3|0,55|2.0|0,731435|8,320879|6,369767|7,237288|9,028941|22,676877|19,749405|12,160966|9,028941
0,3|0,6|2.0|0,734948|5,998936|4,931778|5,725760|7,358615|23,829520|15,498199|9,614105|7,358615
0,3|0,65|2.0|0,697371|4,986209|5,002873|5,671970|7,484358|26,367930|11,297336|7,655366|7,484358
0,3|0,7|2.0|0,706942|6,082897|4,767599|5,623269|7,219125|20,502150|15,672712|9,959293|7,219125
0,3|0,75|2.0|0,610536|3,709558|3,114840|3,798623|5,414688|24,243991|7,041396|5,587640|5,414688
0,3|0,8|2.0|0,630343|3,800306|3,423641|4,190935|5,667085|22,465769|10,231372|7,185631|5,667085
0,3|0,85|2.0|0,762424|8,698839|6,648947|7,694620|9,012325|22,424068|22,775545|16,011426|9,012325
0,3|0,9|2.0|0,610792|2,968576|1,594691|1,999318|3,238793|25,288379|2,114528|3,084228|3,238793
0,3|0,95|2.0|0,605111|3,070723|2,642292|3,300657|4,806119|25,066685|5,322383|4,630739|4,806119
0,3|1|2.0|14,036586|17,890920|18,137590|19,465871|19,942682|27,558759|34,056514|30,488920|19,942682
0,3|1,05|2.0|150,026135|58,592778|48,918911|48,307859|46,663398|45,420452|41,587811|47,393430|46,663398
0,3|1,1|2.0|843,263606|22,691025|31,934454|32,468684|33,821784|16,181754|24,145588|23,893668|33,821784
0,3|1,15|2.0|69,639332|7,678775|5,681280|6,656093|7,021555|8,902112|10,138596|10,252442|7,021555
0,3|1,2|2.0|713,590023|22,518794|32,035723|32,503188|34,341265|18,753700|30,384384|30,140352|34,341265
0,3|1,25|2.0|722,574876|20,029865|5,098325|5,257775|7,363996|14,139330|3,138642|3,372425|7,363996
0,3|1,3|2.0|800,615526|22,697076|32,525728|33,064275|34,643560|23,265163|32,601390|33,331701|34,643560
0,3|1,35|2.0|457,921637|62,564045|50,028056|50,195646|46,413213|50,652107|41,519781|43,740938|46,413213
0,3|1,4|2.0|221,547219|10,919966|14,638045|15,249301|16,666905|9,587483|13,209688|14,053866|16,666905
0,3|1,45|2.0|463,946395|22,093764|29,656277|30,447657|31,609605|23,454609|33,648438|31,845952|31,609605
0,3|1,5|2.0|152,722229|18,806612|17,640555|16,636903|15,672796|21,332978|18,878401|14,389120|15,672796
0,3|1,55|2.0|201,126103|39,571999|36,564209|36,089331|33,179769|59,034617|51,539338|48,734745|33,179769
0,3|1,6|2.0|860,363142|24,410294|35,821912|36,321497|37,926378|21,663874|30,183653|32,045026|37,926378
0,3|1,65|2.0|133,827572|9,425408|4,246765|5,199537|4,323573|14,439006|12,956423|12,762201|4,323573
0,3|1,7|2.0|582,872011|22,758055|32,204426|32,737296|34,435439|20,473653|31,309135|31,275470|34,435439
0,3|1,75|2.0|383,508544|20,432102|30,732063|31,179196|32,985199|14,343135|24,691445|25,474455|32,985199
0,3|1,8|2.0|741,982929|30,793921|11,501189|11,075416|9,685744|18,235319|9,311611|9,715856|9,685744
0,3|1,85|2.0|358,537667|60,805925|43,400487|42,724694|42,187867|22,236531|24,580695|30,325262|42,187867
0,3|1,9|2.0|43,802019|12,837038|16,038316|13,715205|15,579792|28,119709|52,444093|40,396953|15,579792
0,3|1,95|2.0|779,481431|22,290032|7,086783|7,855417|7,881809|11,292572|14,844961|13,686514|7,881809
0,3|2|2.0|140,942464|21,932181|20,258463|19,189822|18,898553|21,539918|19,227899|19,899810|18,898553
0,3|2,05|2.0|895,742264|28,831021|38,905154|39,420056|41,119914|20,872869|37,777910|37,816345|41,119914
0,3|2,1|2.0|655,586934|15,486338|22,567598|22,796874|25,001653|9,331873|14,294756|15,342305|25,001653
0,3|2,15|2.0|873,521128|24,102757|35,157261|35,463148|37,635486|9,130736|32,475395|35,747473|37,635486
0,3|2,2|2.0|691,263917|17,561407|27,640269|28,257172|29,584990|21,052230|28,023696|29,455892|29,584990
0,3|2,25|2.0|812,661484|20,753048|22,804692|22,777414|25,360344|11,299854|12,516193|14,143493|25,360344
0,3|2,3|2.0|792,884637|28,124646|4,205452|4,333859|1,745947|16,563505|3,465928|3,649853|1,745947
0,3|2,35|2.0|554,756104|14,077817|17,950693|18,117876|20,889955|13,120366|14,731166|14,905971|20,889955
0,3|2,4|2.0|610,162992|24,072479|33,450293|34,146719|35,462747|26,882427|35,804296|36,393795|35,462747
0,3|2,45|2.0|273,596349|20,224936|7,093444|6,553158|4,590017|14,906293|6,979100|6,604994|4,590017
0,3|0|0|151,763471|27,510570|14,342757|13,807893|12,065000|27,510570|14,342757|13,807893|12,065000
0,3|0|0,1|4,170342|4,854248|4,939982|5,583227|7,564976|30,797252|6,453586|5,625751|7,564976
0,3|0|0,2|1,724336|4,575841|5,403861|6,234332|7,712391|17,366719|15,272172|11,438413|7,712391
0,3|0|0,3|1,392907|5,022549|5,802285|6,663631|8,071267|19,535572|17,377850|12,918300|8,071267
0,3|0|0,4|1,153725|5,588377|6,037312|6,926607|8,262579|21,758843|19,060646|13,941455|8,262579
0,3|0|0,5|1,023549|5,962789|5,679343|6,584244|7,876948|23,189529|19,447457|13,710768|7,876948
0,3|0|0,6|1,005171|5,403479|4,541653|5,417126|6,828415|19,264877|16,059132|10,702978|6,828415
0,3|0|0,7|0,892104|8,060572|8,740396|9,637412|11,108104|21,597581|23,179454|17,206497|11,108104
0,3|0|0,8|0,903209|8,201663|8,741389|9,664523|11,162633|21,911573|24,109198|18,169374|11,162633
0,3|0|0,9|0,864236|5,813650|5,013867|5,890488|7,497435|25,972033|14,827635|9,770662|7,497435
0,3|0|1|0,871056|8,631623|9,587663|10,425809|12,344507|21,513044|16,266759|16,286256|12,344507
0,3|0|1,1|0,932749|7,511463|7,137000|7,973348|9,747033|21,874034|19,758840|13,226140|9,747033
